time,step,action,reward,entropy,state,next_state
0.0,1,"[0.0, 0.0, 0.01]",0.0028271264610333106,4795.394604026324,"[0.0, 3.0120875224388345e-05, 1.4123619086933392e-05, -8.328289336969353e-07, 6.453814281971128e-06, -1.017640486438315e-06]","[0.0, 3.0120875224388345e-05, 1.4123619086933392e-05, -8.328289336969353e-07, 7.6014677247579024e-06, -3.5504246230896995e-07]"
180.0,2,"[0.0, 0.0, 0.0]",9.740881479337129e-06,4795.347713198712,"[0.0, 3.0120875224388345e-05, 1.4123619086933392e-05, -8.328289336969353e-07, 7.6014677247579024e-06, -3.5504246230896995e-07]","[0.0, 3.0120875224388345e-05, 1.4123619086933392e-05, -8.328289336969353e-07, 7.6014677247579024e-06, -3.5504246230896995e-07]"
360.0,3,"[0.05, 0.0, 0.0]",-0.0049997624200599266,4795.346569532193,"[0.0, 3.0120875224388345e-05, 1.4123619086933392e-05, -8.328289336969353e-07, 7.6014677247579024e-06, -3.5504246230896995e-07]","[0.0, 1.6868914741801445e-05, 1.9361686034597863e-05, -4.890693989338413e-06, 7.6014677247579024e-06, -3.5504246230896995e-07]"
540.0,4,"[0.0, 0.0, 0.05]",-0.0035604447717153343,4788.416813104084,"[0.0, 1.6868914741801445e-05, 1.9361686034597863e-05, -4.890693989338413e-06, 7.6014677247579024e-06, -3.5504246230896995e-07]","[0.0, 1.6868914741801445e-05, 1.9361686034597863e-05, -4.890693989338413e-06, 1.0573143284612504e-05, 5.56718334603151e-06]"
720.0,5,"[0.0, 0.0, 0.01]",0.0014458308617058377,4776.643029227679,"[0.0, 1.6868914741801445e-05, 1.9361686034597863e-05, -4.890693989338413e-06, 1.0573143284612504e-05, 5.56718334603151e-06]","[0.0, 1.6868914741801445e-05, 1.9361686034597863e-05, -4.890693989338413e-06, 1.0927932686598697e-05, 6.844003241928628e-06]"
900.0,6,"[0.0, 0.0, 0.0]",0.0,4776.643029227679,"[0.0, 1.6868914741801445e-05, 1.9361686034597863e-05, -4.890693989338413e-06, 1.0927932686598697e-05, 6.844003241928628e-06]","[0.0, 1.6868914741801445e-05, 1.9361686034597863e-05, -4.890693989338413e-06, 1.0927932686598697e-05, 6.844003241928628e-06]"
1080.0,7,"[0.0, 0.0, 0.05]",-0.005000000000000001,4776.643029227679,"[0.0, 1.6868914741801445e-05, 1.9361686034597863e-05, -4.890693989338413e-06, 1.0927932686598697e-05, 6.844003241928628e-06]","[0.0, 1.6868914741801445e-05, 1.9361686034597863e-05, -4.890693989338413e-06, 1.0154127050789072e-05, 1.3424644471778531e-05]"
1260.0,8,"[0.0, 0.05, 0.0]",0.004209140043110734,4732.311907949934,"[0.0, 1.6868914741801445e-05, 1.9361686034597863e-05, -4.890693989338413e-06, 1.0154127050789072e-05, 1.3424644471778531e-05]","[1.32519604825869e-05, 1.2992404985851458e-05, 1.5305281581897898e-05, 7.725170608387767e-06, 1.0154127050789072e-05, 1.3424644471778531e-05]"
1440.0,9,"[0.0, 0.0, 0.05]",0.07658218378589114,4339.590148199824,"[1.32519604825869e-05, 1.2992404985851458e-05, 1.5305281581897898e-05, 7.725170608387767e-06, 1.0154127050789072e-05, 1.3424644471778531e-05]","[1.32519604825869e-05, 9.1353260220895e-06, 1.5305281581897898e-05, 7.725170608387767e-06, 6.947654901621578e-06, 1.9223105518868906e-05]"
1620.0,10,"[-0.0, -0.0, -0.01]",0.18014913087668538,3467.5712568962804,"[1.32519604825869e-05, 9.1353260220895e-06, 1.5305281581897898e-05, 7.725170608387767e-06, 6.947654901621578e-06, 1.9223105518868906e-05]","[1.32519604825869e-05, 5.278247058327541e-06, 1.5305281581897898e-05, 7.725170608387767e-06, 7.800532931252114e-06, 1.8208835518871872e-05]"
