step,entropy
0,5545.177444479563
1,5177.419842222441
2,4851.835610292591
3,4592.716334657208
4,4377.954473657648
5,4095.313924092139
6,3764.15307515927
7,3525.762477927464
8,3308.1828711379717
9,3096.1610147316146
10,2877.8831146592106
11,2675.524163779538
12,2509.1842846027835
13,2416.308283436829
14,2263.131338636248
15,2180.626250065209
16,2064.1575230626463
17,1958.0728568350726
18,1890.1027074343187
19,1823.5577225743446
20,1750.7766985807584
