time,step,action,reward,entropy,state,next_state
0.0,1,"[0.0, 0.01, 0.0]",-0.00016539708955432182,4716.3804048008315,"[0.0, 3.0510698496382026e-05, 1.353432947934232e-05, 3.099183609253962e-07, 7.562367972578447e-06, -1.4138106173854923e-06]","[2.65039209651738e-06, 2.973927248068869e-05, 1.5829636364915868e-05, 1.635114409184086e-06, 7.562367972578447e-06, -1.4138106173854923e-06]"
180.0,2,"[0.0, 0.0, 0.0]",8.844495558394418e-06,4716.338655951578,"[2.65039209651738e-06, 2.973927248068869e-05, 1.5829636364915868e-05, 1.635114409184086e-06, 7.562367972578447e-06, -1.4138106173854923e-06]","[2.65039209651738e-06, 2.896784646499535e-05, 1.5829636364915868e-05, 1.635114409184086e-06, 7.562367972578447e-06, -1.4138106173854923e-06]"
360.0,3,"[-0.0, -0.0, -0.01]",-0.0009997576763409205,4716.337512106365,"[2.65039209651738e-06, 2.896784646499535e-05, 1.5829636364915868e-05, 1.635114409184086e-06, 7.562367972578447e-06, -1.4138106173854923e-06]","[2.65039209651738e-06, 2.8196420449302015e-05, 1.5829636364915868e-05, 1.635114409184086e-06, 6.750794961450152e-06, -2.461424006918387e-06]"
540.0,4,"[-0.0, -0.05, -0.0]",-0.004999878807885281,4716.336940040802,"[2.65039209651738e-06, 2.8196420449302015e-05, 1.5829636364915868e-05, 1.635114409184086e-06, 6.750794961450152e-06, -2.461424006918387e-06]","[-1.0601568386069519e-05, 3.1293104507431206e-05, 9.886285245206663e-06, -1.0209337207496874e-05, 6.750794961450152e-06, -2.461424006918387e-06]"
