time,step,action,reward,entropy,state,next_state
0.0,1,"[0.0, 0.0, 0.01]",0.00276473516424021,4720.488415054309,"[0.0, 2.778740318184655e-05, 1.536182688938514e-05, 2.8272664570060996e-07, 8.186069863235838e-06, 1.224946815140377e-06]","[0.0, 2.778740318184655e-05, 1.536182688938514e-05, 2.8272664570060996e-07, 9.333723306022614e-06, 1.887544839269722e-06]"
180.0,2,"[0.05, 0.0, 0.0]",-0.002950917152255685,4710.779190551141,"[0.0, 2.778740318184655e-05, 1.536182688938514e-05, 2.8272664570060996e-07, 9.333723306022614e-06, 1.887544839269722e-06]","[0.0, 1.4535442699259652e-05, 1.971912904780578e-05, -4.709019747920971e-06, 9.333723306022614e-06, 1.887544839269722e-06]"
360.0,3,"[-0.0, -0.0, -0.01]",-0.000999999962287366,4710.7791903724465,"[0.0, 1.4535442699259652e-05, 1.971912904780578e-05, -4.709019747920971e-06, 9.333723306022614e-06, 1.887544839269722e-06]","[0.0, 1.4535442699259652e-05, 1.971912904780578e-05, -4.709019747920971e-06, 8.522150294894318e-06, 8.399314497368277e-07]"
540.0,4,"[0.05, 0.0, 0.0]",-0.005000000000000001,4710.7791903724465,"[0.0, 1.4535442699259652e-05, 1.971912904780578e-05, -4.709019747920971e-06, 8.522150294894318e-06, 8.399314497368277e-07]","[0.0, 1.283482216672752e-06, 2.564135485614626e-05, -7.680695307775573e-06, 8.522150294894318e-06, 8.399314497368277e-07]"
720.0,5,"[0.0, 0.0, 0.0]",0.0054083303518462165,4685.1527528513,"[0.0, 1.283482216672752e-06, 2.564135485614626e-05, -7.680695307775573e-06, 8.522150294894318e-06, 8.399314497368277e-07]","[0.0, 1.283482216672752e-06, 2.564135485614626e-05, -7.680695307775573e-06, 8.522150294894318e-06, 8.399314497368277e-07]"
900.0,6,"[0.0, 0.05, 0.0]",-0.005000000000000001,4685.1527528513,"[0.0, 1.283482216672752e-06, 2.564135485614626e-05, -7.680695307775573e-06, 8.522150294894318e-06, 8.399314497368277e-07]","[1.32519604825869e-05, -2.5899961004414266e-06, 2.666062490273136e-05, 5.532008624583587e-06, 8.522150294894318e-06, 8.399314497368277e-07]"
1080.0,7,"[0.05, 0.0, 0.0]",0.0273028524732325,4532.091276054209,"[1.32519604825869e-05, -2.5899961004414266e-06, 2.666062490273136e-05, 5.532008624583587e-06, 8.522150294894318e-06, 8.399314497368277e-07]","[1.32519604825869e-05, -1.9699035546790286e-05, 3.3241266132581266e-05, 6.305814260393212e-06, 8.522150294894318e-06, 8.399314497368277e-07]"
1260.0,8,"[-0.05, -0.0, -0.0]",-0.002076105374953232,4518.236907320686,"[1.32519604825869e-05, -1.9699035546790286e-05, 3.3241266132581266e-05, 6.305814260393212e-06, 8.522150294894318e-06, 8.399314497368277e-07]","[1.32519604825869e-05, -1.0304154027965345e-05, 2.6933333833718178e-05, 4.27761203404323e-06, 8.522150294894318e-06, 8.399314497368277e-07]"
1440.0,9,"[-0.0, -0.05, -0.0]",0.1926254765828663,3581.822783411106,"[1.32519604825869e-05, -1.0304154027965345e-05, 2.6933333833718178e-05, 4.27761203404323e-06, 8.522150294894318e-06, 8.399314497368277e-07]","[0.0, -1.0284279476032689e-05, 3.3346278132053164e-05, -7.319310060137519e-06, 8.522150294894318e-06, 8.399314497368277e-07]"
1620.0,10,"[0.0, 0.01, 0.0]",0.025173832644311892,3457.802606515025,"[0.0, -1.0284279476032689e-05, 3.3346278132053164e-05, -7.319310060137519e-06, 8.522150294894318e-06, 8.399314497368277e-07]","[2.65039209651738e-06, -1.1059619959529352e-05, 3.164052207279209e-05, -5.290770060143451e-06, 8.522150294894318e-06, 8.399314497368277e-07]"
