step,time,action,reward,entropy,state,next_state,position
11,1320.0,"[0.0, 0.0, 0.0]",0.0,4651.841096159904,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[36.69912348137342, 386.04487991556124, 46.511219978890324]"
12,1440.0,"[0.0, 0.0, 0.0]",0.0,4651.841096159904,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[48.392419421727126, 375.02198424782694, 43.75549606195674]"
13,1560.0,"[0.0, 0.0, 0.0]",0.017243616631584163,4570.792040439707,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[59.27703338101567, 361.0743097274789, 40.26857743186973]"
14,1680.0,"[0.0, 0.0, 0.0]",0.022398525137017414,4465.513701755512,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[69.17107341655657, 344.4349348655143, 36.10873371637858]"
15,1800.0,"[0.0, 0.0, 0.0]",0.0,4465.513701755512,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[77.90920098995286, 325.3819189693175, 31.34547974232938]"
16,1920.0,"[0.0, 0.0, 0.0]",0.0,4465.513701755512,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[85.34539392663068, 304.23365551506345, 26.058413878765865]"
17,2040.0,"[0.0, 0.0, 0.0]",0.008695057235304062,4424.644886737689,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[91.35538658111338, 281.3435514989438, 20.33588787473595]"
18,2160.0,"[0.0, 0.0, 0.0]",0.2633271009674382,3186.945549357617,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[95.83874643061971, 257.09412168016524, 14.273530420041322]"
19,2280.0,"[0.0, 0.0, 0.0]",0.00029494145622736313,3185.5592551114214,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[98.72055239519017, 231.89059640637103, 7.972649101592759]"
20,2400.0,"[0.0, 0.0, 0.0]",0.0,3185.5592551114214,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[99.95264683806431, 206.1541498406176, 1.5385374601544053]"
21,2520.0,"[0.0, 0.0, 0.0]",0.0,3185.5592551114214,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[99.51444032422665, 180.31486175248634, -4.921284561878411]"
22,2640.0,"[0.0, 0.0, 0.0]",0.003981223229731643,3166.846569120129,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[97.41325568886424, 154.80453048829077, -11.298867377927303]"
23,2760.0,"[0.0, 0.0, 0.0]",0.3002988827595691,1755.3711575807188,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[93.6842056660336, 130.0494572222826, -17.48763569442935]"
24,2880.0,"[0.0, 0.0, 0.0]",0.12339875538487842,1175.3679706232335,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[88.38960612247567, 106.46332207067401, -23.384169482331494]"
