time,step,action,reward,entropy,state,next_state
0.0,1,"[0.01, 0.0, 0.0]",0.35951052745740786,1505.37255859375,"[0.0, 3.063657174643465e-05, 1.42424758059811e-05, 8.324209321990728e-07, 6.532036482043992e-06, 1.133207652648266e-06]","[0.0, 2.798617964991727e-05, 1.4905073830110445e-05, -3.152325105877017e-07, 6.532036482043992e-06, 1.133207652648266e-06]"
120.0,2,"[0.01, 0.0, 0.0]",0.17635897735456807,1081.8328857421875,"[0.0, 2.798617964991727e-05, 1.4905073830110445e-05, -3.152325105877017e-07, 6.532036482043992e-06, 1.133207652648266e-06]","[0.0, 2.533578755339989e-05, 1.571018332095678e-05, -1.3678213543769593e-06, 6.532036482043992e-06, 1.133207652648266e-06]"
240.0,3,"[0.0, 0.0, 0.01]",0.055015672755446825,944.834228515625,"[0.0, 2.533578755339989e-05, 1.571018332095678e-05, -1.3678213543769593e-06, 6.532036482043992e-06, 1.133207652648266e-06]","[0.0, 2.533578755339989e-05, 1.571018332095678e-05, -1.3678213543769593e-06, 7.471970996013959e-06, 2.067374487730999e-06]"
360.0,4,"[-0.0, -0.0, -0.01]",0.04052236473419113,842.0601806640625,"[0.0, 2.533578755339989e-05, 1.571018332095678e-05, -1.3678213543769593e-06, 7.471970996013959e-06, 2.067374487730999e-06]","[0.0, 2.533578755339989e-05, 1.571018332095678e-05, -1.3678213543769593e-06, 6.660397984885664e-06, 1.0197610981981046e-06]"
480.0,5,"[0.0, 0.0, 0.0]",0.029108251727660957,773.32373046875,"[0.0, 2.533578755339989e-05, 1.571018332095678e-05, -1.3678213543769593e-06, 6.660397984885664e-06, 1.0197610981981046e-06]","[0.0, 2.533578755339989e-05, 1.571018332095678e-05, -1.3678213543769593e-06, 6.660397984885664e-06, 1.0197610981981046e-06]"
600.0,6,"[-0.0, -0.05, -0.0]",-0.009984350196633157,761.479736328125,"[0.0, 2.533578755339989e-05, 1.571018332095678e-05, -1.3678213543769593e-06, 6.660397984885664e-06, 1.0197610981981046e-06]","[-1.32519604825869e-05, 2.7919237952445764e-05, 1.0544830533313973e-05, -1.357165629308518e-05, 6.660397984885664e-06, 1.0197610981981046e-06]"
720.0,7,"[-0.0, -0.0, -0.01]",0.014634331183626358,719.837890625,"[-1.32519604825869e-05, 2.7919237952445764e-05, 1.0544830533313973e-05, -1.357165629308518e-05, 6.660397984885664e-06, 1.0197610981981046e-06]","[-1.32519604825869e-05, 3.04907091194616e-05, 1.0544830533313973e-05, -1.357165629308518e-05, 6.3056085828994705e-06, -2.570587976990135e-07]"
840.0,8,"[-0.0, -0.0, -0.01]",0.009925742990879338,689.31494140625,"[-1.32519604825869e-05, 3.04907091194616e-05, 1.0544830533313973e-05, -1.357165629308518e-05, 6.3056085828994705e-06, -2.570587976990135e-07]","[-1.32519604825869e-05, 3.306218028647744e-05, 1.0544830533313973e-05, -1.357165629308518e-05, 6.118493915968913e-06, -1.5689782570180356e-06]"
960.0,9,"[0.05, 0.0, 0.0]",-0.005009538553601273,665.723388671875,"[-1.32519604825869e-05, 3.306218028647744e-05, 1.0544830533313973e-05, -1.357165629308518e-05, 6.118493915968913e-06, -1.5689782570180356e-06]","[-1.32519604825869e-05, 2.2381690970906378e-05, 1.717030872353785e-05, -1.365322165876793e-05, 6.118493915968913e-06, -1.5689782570180356e-06]"
1080.0,10,"[-0.0, -0.0, -0.05]",-0.007657402159521918,648.384521484375,"[-1.32519604825869e-05, 2.2381690970906378e-05, 1.717030872353785e-05, -1.365322165876793e-05, 6.118493915968913e-06, -1.5689782570180356e-06]","[-1.32519604825869e-05, 2.4953162137922215e-05, 1.717030872353785e-05, -1.365322165876793e-05, 6.892299551778538e-06, -8.149619486867939e-06]"
