time,state,action,reward,next_state
0.0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.05, 0.0, 0.0]",813.7762385162277,"[ 1.19201125e-05  1.38377720e-05  1.45397013e-05  1.14559676e-05
  6.18589574e-06 -3.57142857e-06]"
30.0,"[1.192011254832249e-05, 1.3837771971965759e-05, 1.453970131896122e-05, 1.1455967569628335e-05, 6.185895741317418e-06, -3.571428571428571e-06]","[0.05, 0.0, 0.0]",1725.5160049736614,"[ 1.82385469e-05 -4.61174651e-06  6.32891759e-06  1.78668355e-05
  3.57142857e-06 -6.18589574e-06]"
60.0,"[1.823854690156735e-05, -4.6117465142060545e-06, 6.328917586549182e-06, 1.7866835464726113e-05, 3.5714285714285718e-06, -6.185895741317418e-06]","[-0.0, -0.0, -0.05]",2232.8913480233678,"[ 1.55389562e-05 -1.18965265e-05 -9.29820238e-06  1.65173376e-05
 -6.61212497e-06 -7.57112981e-06]"
90.0,"[1.553895619876816e-05, -1.1896526476846903e-05, -9.298202377994547e-06, 1.651733755418175e-05, -6.6121249747875136e-06, -7.571129808109562e-06]","[-0.0, -0.05, -0.0]",327.7984814259804,"[-1.05955505e-05 -7.86174558e-06 -2.04034979e-05 -8.03058993e-06
 -9.51183311e-06 -3.25072826e-06]"
120.0,"[-1.0595550500298534e-05, -7.86174558428564e-06, -2.0403497933738513e-05, -8.030589931994947e-06, -9.51183310521831e-06, -3.250728261778727e-06]","[0.0, 0.05, 0.0]",134.26964739595059,"[-7.63455661e-06 -3.79055051e-06 -7.41484994e-06 -6.52591681e-06
 -9.86285324e-06  1.94070330e-06]"
150.0,"[-7.63455660846051e-06, -3.7905505092446143e-06, -7.4148499388275624e-06, -6.525916808476411e-06, -9.86285323656624e-06, 1.9407032971087466e-06]","[0.0, 0.05, 0.0]",56.812349055814025,"[ 3.36748244e-06 -6.54513707e-06  1.10932997e-06  3.21388997e-06
 -7.57112981e-06  6.61212497e-06]"
180.0,"[3.367482440556802e-06, -6.545137070585326e-06, 1.109329967620208e-06, 3.2138899696226346e-06, -7.571129808109564e-06, 6.6121249747875136e-06]","[0.0, 0.0, 0.05]",52.131815813705146,"[ 3.00236505e-06 -9.65678749e-06 -8.80866151e-07  3.28386610e-06
  3.25090200e-06  1.07894943e-05]"
210.0,"[3.0023650514410007e-06, -9.656787486452856e-06, -8.808661511738647e-07, 3.2838660961764847e-06, 3.250902003557236e-06, 1.078949426956456e-05]","[-0.0, -0.01, -0.0]",17.415014410228167,"[-9.58899824e-07 -9.51917131e-06 -3.18011598e-06 -1.50284441e-07
  8.21011086e-06  7.71852513e-06]"
240.0,"[-9.588998242727696e-07, -9.51917130664042e-06, -3.1801159822037817e-06, -1.5028444092441434e-07, 8.210110855076577e-06, 7.718525129650916e-06]","[0.05, 0.0, 0.0]",6.24004327089861,"[-2.50550507e-06 -1.85161845e-05  3.50753664e-06 -3.66626656e-06
  1.09694271e-05  2.57938341e-06]"
270.0,"[-2.5055050680493034e-06, -1.8516184467193294e-05, 3.5075366399699323e-06, -3.6662665556658177e-06, 1.0969427133208153e-05, 2.579383414487982e-06]","[-0.05, -0.0, -0.0]",14.58695803807177,"[-2.10069743e-07 -5.52227221e-06 -1.55195875e-06  2.98614159e-07
  1.07894943e-05 -3.25090200e-06]"
