time,state,action,reward,next_state
300.0,"[0.0, 5.569890610165554e-05, 1.6338860760414553e-05, 0.0002612130640430174, 0.002623545605494104, -5.225686336205985e-05]","[-0.0, -0.0, -0.05]",85.22908855189917,"[ 0.00000000e+00  5.56989061e-05  2.47765348e-05  2.60548165e-04
 -4.00203147e-03  7.71875499e-05]"
330.0,"[0.0, 5.569890610165554e-05, 2.477653484248778e-05, 0.00026054816544909446, -0.004002031468612205, 7.718754985310037e-05]","[0.0, 0.0, 0.05]",83.83593498701202,"[ 0.00000000e+00  5.56989061e-05  3.31882976e-05  2.59610786e-04
  2.62507254e-03 -7.69712262e-06]"
360.0,"[0.0, 5.569890610165552e-05, 3.318829764379736e-05, 0.0002596107857874869, 0.0026250725387712763, -7.697122622477904e-06]","[-0.0, -0.0, -0.01]",58.21521376133933,"[ 0.00000000e+00  5.56989061e-05  4.15653521e-05  2.58401905e-04
  1.29894790e-03 -4.97240729e-05]"
390.0,"[0.0, 5.569890610165549e-05, 4.156535214938346e-05, 0.00025840190536911183, 0.0012989479022898099, -4.972407285094437e-05]","[-0.0, -0.0, -0.05]",67.90212495567494,"[ 0.00000000e+00  5.56989061e-05  4.98989376e-05  2.56922788e-04
 -5.32585464e-03  1.22549341e-04]"
420.0,"[0.0, 5.569890610165549e-05, 4.989893764219477e-05, 0.00025692278844016545, -0.005325854643449391, 0.00012254934132855454]","[0.0, 0.0, 0.0]",38.110516799509696,"[ 0.00000000e+00  5.56989061e-05  5.81803389e-05  2.55174982e-04
 -5.31910717e-03  2.94694594e-04]"
450.0,"[0.0, 5.569890610165548e-05, 5.818033886503959e-05, 0.0002551749818599755, -0.005319107173273703, 0.0002946945935027225]","[0.0, 0.0, 0.01]",42.94711339963669,"[ 0.00000000e+00  5.56989061e-05  6.64008951e-05  2.53160313e-04
 -3.98229388e-03  4.23681982e-04]"
480.0,"[0.0, 5.5698906101655425e-05, 6.64008951349949e-05, 0.0002531603134832967, -0.003982293881212421, 0.0004236819816991569]","[0.0, 0.0, 0.05]",34.65049726506186,"[0.00000000e+00 5.56989061e-05 7.45520094e-05 2.50880890e-04
 2.65600356e-03 3.37977921e-04]"
510.0,"[0.0, 5.569890610165545e-05, 7.455200940074182e-05, 0.00025088089024874206, 0.002656003561233041, 0.000337977920598978]","[0.0, 0.0, 0.05]",49.894589850518514,"[0.00000000e+00 5.56989061e-05 8.26251572e-05 2.48339096e-04
 9.28805863e-03 3.76720394e-05]"
540.0,"[0.0, 5.569890610165545e-05, 8.262515723335524e-05, 0.00024833909597534777, 0.009288058634753595, 3.7672039442266064e-05]","[-0.0, -0.0, -0.05]",42.95740275293292,"[ 0.00000000e+00  5.56989061e-05  9.06118957e-05  2.45537589e-04
  2.66190450e-03 -4.84248761e-05]"
570.0,"[0.0, 5.569890610165545e-05, 9.06118957411448e-05, 0.0002455375888695773, 0.002661904503707547, -4.8424876092375217e-05]","[-0.0, -0.0, -0.05]",38.114517970465386,"[ 0.00000000e+00  5.56989061e-05  9.85038724e-05  2.42479299e-04
 -3.96356872e-03  7.97772141e-05]"
