step,entropy
0,5545.177444479563
1,5315.934946650736
2,5185.726747281445
3,5053.411098096003
4,4871.231154411073
5,4716.066228218269
6,4595.508356688639
7,4463.171557016953
8,4357.883500902068
9,4269.88811132534
10,4155.600574450614
11,4070.3714858987146
12,3986.5355509117026
13,3928.3203371503632
14,3860.4182121946883
15,3822.3076953951786
16,3779.360581995542
17,3744.71008473048
18,3694.8154948799615
19,3651.8580921270286
20,3613.743574156563
