time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_Q_sa,root_N_sa
0.0,0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[-0.0, -0.05, -0.0]",773.5568582320232,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]",5545.177444479563,4771.57058624754,773.6068582320231,0.05,941.0897171194206,3000,"[815.1452953382662, 773.9967812418995, 819.1595249719799, 535.3367125131172, 744.9361861975644, 743.303025907864, 824.8072941935709, 702.5014370109753, 941.0897171194206, 733.7518516444748, 767.4464220331199, 782.8907276139787, 743.486200540116]","[1, 1, 1, 1, 1, 1, 1, 1, 2988, 1, 1, 1, 1]"
120.0,1,"[-1.7942463705526653e-06, 3.2524927821933116e-05, 6.679940063426293e-06, -2.6783402287189494e-06, 6.18589574131742e-06, -3.5714285714285705e-06]","[0.0, 0.0, 0.05]",16.8015961158173,"[2.849910099785257e-06, 3.178391311711467e-05, 7.117751942503028e-06, 1.064289864997462e-06, 1.0142045690852344e-05, -5.3311414912861645e-06]",4771.57058624754,4754.718990131722,16.8515961158173,0.05,317.1580168251453,3000,"[9.550233662293747, 1.5236601972157544, 2.2141744544671873, 105.15104359074438, 1.4361840381758673, 87.49216795890982, 1.490134538806992, 1.3733978978356953, 2.85989838141992, 85.47840835717594, 1.5518228398925031, 317.1580168251453, 1.5220329382590363]","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2987, 1]"
240.0,2,"[2.849910099785257e-06, 3.178391311711467e-05, 7.117751942503028e-06, 1.064289864997462e-06, 1.0142045690852344e-05, -5.3311414912861645e-06]","[-0.0, -0.0, -0.05]",283.2482585014861,"[5.2003925746778785e-06, 2.6794315566724063e-05, 6.5729810626521355e-06, 2.9310451347187413e-06, -2.877544536881433e-07, -1.1383151575897102e-05]",4754.718990131722,4471.420731630236,283.2982585014861,0.05,1841.268958580951,3000,"[259.64618901971613, 277.74330142084517, -0.12742037332589293, 63.778377236405426, 0.5846734974366341, -0.16527375641543346, 251.43702318114032, 0.48582289698828535, 0.5237534405746436, 26.01317626327889, 123.66331732217155, 193.23319055533878, 1841.268958580951]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2988]"
360.0,3,"[5.2003925746778785e-06, 2.6794315566724063e-05, 6.5729810626521355e-06, 2.9310451347187413e-06, -2.877544536881433e-07, -1.1383151575897102e-05]","[-0.0, -0.0, -0.05]",-0.05,"[5.850756325389692e-06, 1.98260886558204e-05, 6.536402061267815e-06, 3.0117359985888444e-06, -1.2074026152041505e-05, -1.2221587728591993e-05]",4471.420731630236,4471.420731630236,0.0,0.05,1778.0691887451849,3000,"[-0.1950497505, -0.1274219101, 165.5864908555103, 70.31753565592334, -0.20623779050000002, -0.1262457505, -0.049009950100000005, 80.81127641382237, -0.20544975050000003, -0.12781395010000002, -0.20504975050000002, 17.07739920937703, 1778.0691887451849]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2988]"
480.0,4,"[5.850756325389692e-06, 1.98260886558204e-05, 6.536402061267815e-06, 3.0117359985888444e-06, -1.2074026152041505e-05, -1.2221587728591993e-05]","[0.05, 0.0, 0.0]",515.2747761985286,"[4.466537773645393e-06, 1.343093361706659e-05, 1.180193546816401e-05, -3.315450641883576e-06, -1.6567207237921613e-05, -4.547192371520068e-06]",4471.420731630236,3956.095955431708,515.3247761985285,0.05,1766.3136873704016,3000,"[988.4615566281511, 1156.6914004062771, 1137.4471960237568, 1766.3136873704016, 623.5569712714449, 1118.8338149152164, 1103.7229799930697, 824.8225790556434, 1121.522829077052, 1090.6414151239082, 1091.8958066795271, 1042.335508746053, 1094.4301399771591]","[1, 7, 2, 2978, 1, 3, 1, 1, 2, 1, 1, 1, 1]"
600.0,5,"[4.466537773645393e-06, 1.343093361706659e-05, 1.180193546816401e-05, -3.315450641883576e-06, -1.6567207237921613e-05, -4.547192371520068e-06]","[-0.0, -0.0, -0.05]",1534.6638464164146,"[-3.4735778493117e-08, 3.669848504948112e-05, 8.723564037673715e-06, -8.612625861726475e-06, -2.1908840625042348e-05, 3.5254216598360316e-07]",3956.095955431708,2421.3821090152933,1534.7138464164145,0.05,2998.887922030973,3000,"[2688.1554369155233, 2787.7232177097985, 2672.669722004978, 2602.88042591305, 2834.994146292528, 2847.2967643645466, 2835.175480673246, 2830.988892843704, 2048.017405761181, 2848.2265495727993, 2744.2261167986576, 2389.8260733000047, 2998.887922030973]","[1, 1, 1, 1, 14, 3, 3, 1, 1, 5, 2, 1, 2966]"
720.0,6,"[-3.4735778493117e-08, 3.669848504948112e-05, 8.723564037673715e-06, -8.612625861726475e-06, -2.1908840625042348e-05, 3.5254216598360316e-07]","[-0.0, -0.0, -0.05]",14.750190033321086,"[-7.294592145198941e-06, 7.526858261210201e-05, 3.4249125997457e-07, -1.225400316183715e-05, -2.3525674381069867e-05, 6.617911959612111e-06]",2421.3821090152933,2406.581918981972,14.800190033321087,0.05,303.25818836627445,3000,"[53.078816365534756, 78.79009509152144, 134.70881150336825, 151.4454120957773, 34.935258946873304, 136.4803627790888, 31.080373630773366, 100.88690871480802, 168.14962674404268, 42.54099386391163, 74.12585146586984, 28.767084618239508, 303.25818836627445]","[1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2986]"
840.0,7,"[-7.294592145198941e-06, 7.526858261210201e-05, 3.4249125997457e-07, -1.225400316183715e-05, -2.3525674381069867e-05, 6.617911959612111e-06]","[0.0, 0.0, 0.01]",13.856951245303426,"[-1.2248858630912581e-05, 9.965355588718367e-05, -1.0279731690206151e-05, -6.678698236246737e-06, -1.624686989071916e-05, 1.853671531359202e-05]",2406.581918981972,2392.7149677366688,13.866951245303426,0.01,621.2293338773148,3000,"[346.3557931433703, 329.8809671128858, 343.82079558654124, 218.213098302001, 241.40591452947774, 288.4325447545046, 291.08718617257455, 347.42065996671096, 339.9394621499843, 621.2293338773148, 259.7537399508926, 291.88558714966, 248.01722366399767]","[6, 2, 12, 1, 2, 4, 2, 3, 1, 2963, 1, 2, 1]"
960.0,8,"[-1.2248858630912581e-05, 9.965355588718367e-05, -1.0279731690206151e-05, -6.678698236246737e-06, -1.624686989071916e-05, 1.853671531359202e-05]","[-0.05, -0.0, -0.0]",-0.04714085157256705,"[-4.577740467407293e-06, 6.267683669265092e-05, -1.1148549993220911e-05, 1.4318453696608408e-05, -4.801844400547293e-06, 2.4176701309650297e-05]",2392.7149677366688,2392.7121085882413,0.002859148427432956,0.05,8.26624956003426,3000,"[1.403994336082229, 1.6539782595146972, 2.2561363803873746, -0.12498637061012567, 8.26624956003426, 1.3651389209225988, -0.1374332209625262, 1.0289486297047463, 1.8331717773473888, 1.768893290386112, 1.7479149720306617, 1.7127379253056725, 1.4680705472321267]","[5, 7, 29, 2, 2906, 6, 2, 4, 10, 8, 8, 8, 5]"
1080.0,9,"[-4.577740467407293e-06, 6.267683669265092e-05, -1.1148549993220911e-05, 1.4318453696608408e-05, -4.801844400547293e-06, 2.4176701309650297e-05]","[-0.0, -0.0, -0.01]",242.64981285739964,"[1.6605365831825195e-05, 1.899834288796455e-05, 1.3968624220223285e-05, 1.1583860349963505e-05, 7.405794363586686e-06, 2.2121378654910094e-05]",2392.7121085882413,2150.0522957308417,242.65981285739963,0.01,506.0646321741713,3000,"[353.7653093454891, 373.20153891582, 367.4212101535913, 168.5706715621944, 374.18307409560157, 273.84910802996313, 366.2845754241951, 352.4969314174145, 371.5168247487501, 348.24865215404446, 506.0646321741713, 275.9571323555811, 248.10377019924525]","[2, 7, 1, 1, 19, 1, 12, 3, 7, 4, 2941, 1, 1]"
