time,step,action,reward,entropy,state,next_state
0.0,1,"[-0.05, -0.0, -0.0]",0.003921747974319241,4670.656130315587,"[0.0, 2.7541345841261925e-05, 1.5192481605039385e-05, 1.8420197399037618e-07, 7.567456897787913e-06, -9.778048683571308e-07]","[0.0, 4.079330632384883e-05, 1.1879491484392661e-05, 5.922469187924249e-06, 7.567456897787913e-06, -9.778048683571308e-07]"
180.0,2,"[0.0, 0.0, 0.0]",0.003241115954358274,4655.381717754978,"[0.0, 4.079330632384883e-05, 1.1879491484392661e-05, 5.922469187924249e-06, 7.567456897787913e-06, -9.778048683571308e-07]","[0.0, 4.079330632384883e-05, 1.1879491484392661e-05, 5.922469187924249e-06, 7.567456897787913e-06, -9.778048683571308e-07]"
360.0,3,"[0.0, 0.05, 0.0]",-0.004703897543159319,4653.986275213062,"[0.0, 4.079330632384883e-05, 1.1879491484392661e-05, 5.922469187924249e-06, 7.567456897787913e-06, -9.778048683571308e-07]","[1.32519604825869e-05, 3.692870526054012e-05, 1.9995221595675617e-05, 1.6398603083253192e-05, 7.567456897787913e-06, -9.778048683571308e-07]"
540.0,4,"[0.0, 0.0, 0.0]",2.426471361214344e-07,4653.985131689499,"[1.32519604825869e-05, 3.692870526054012e-05, 1.9995221595675617e-05, 1.6398603083253192e-05, 7.567456897787913e-06, -9.778048683571308e-07]","[1.32519604825869e-05, 3.307162629677816e-05, 1.9995221595675617e-05, 1.6398603083253192e-05, 7.567456897787913e-06, -9.778048683571308e-07]"
720.0,5,"[-0.0, -0.0, -0.05]",-0.004999999984832884,4653.985131618021,"[1.32519604825869e-05, 3.307162629677816e-05, 1.9995221595675617e-05, 1.6398603083253192e-05, 7.567456897787913e-06, -9.778048683571308e-07]","[1.32519604825869e-05, 2.9214547333016202e-05, 1.9995221595675617e-05, 1.6398603083253192e-05, 5.793509887856947e-06, -7.361904347842721e-06]"
900.0,6,"[0.0, 0.05, 0.0]",-0.005000000000000001,4653.985131618021,"[1.32519604825869e-05, 2.9214547333016202e-05, 1.9995221595675617e-05, 1.6398603083253192e-05, 5.793509887856947e-06, -7.361904347842721e-06]","[2.65039209651738e-05, 2.148411783890186e-05, 2.101449164226072e-05, 2.9611307015612353e-05, 5.793509887856947e-06, -7.361904347842721e-06]"
1080.0,7,"[-0.0, -0.0, -0.01]",2.8715373408035516e-05,4649.137102963031,"[2.65039209651738e-05, 2.148411783890186e-05, 2.101449164226072e-05, 2.9611307015612353e-05, 5.793509887856947e-06, -7.361904347842721e-06]","[2.65039209651738e-05, 1.3770087698139739e-05, 2.101449164226072e-05, 2.9611307015612353e-05, 5.948271015018873e-06, -8.678032593812702e-06]"
1260.0,8,"[0.0, 0.05, 0.0]",-0.005000000000000001,4649.137102963031,"[2.65039209651738e-05, 1.3770087698139739e-05, 2.101449164226072e-05, 2.9611307015612353e-05, 5.948271015018873e-06, -8.678032593812702e-06]","[3.97558814477607e-05, 2.1798033749512214e-06, 1.6958087189560756e-05, 4.222717161333853e-05, 5.948271015018873e-06, -8.678032593812702e-06]"
1440.0,9,"[0.05, 0.0, 0.0]",0.00029053620609855065,4624.204384165938,"[3.97558814477607e-05, 2.1798033749512214e-06, 1.6958087189560756e-05, 4.222717161333853e-05, 5.948271015018873e-06, -8.678032593812702e-06]","[3.97558814477607e-05, -2.2643010638636168e-05, 2.2756548236651132e-05, 4.543364376250603e-05, 5.948271015018873e-06, -8.678032593812702e-06]"
1620.0,10,"[0.0, 0.0, 0.0]",7.583462063266453e-12,4624.204384130199,"[3.97558814477607e-05, -2.2643010638636168e-05, 2.2756548236651132e-05, 4.543364376250603e-05, 5.948271015018873e-06, -8.678032593812702e-06]","[3.97558814477607e-05, -3.421386416963666e-05, 2.2756548236651132e-05, 4.543364376250603e-05, 5.948271015018873e-06, -8.678032593812702e-06]"
