step,entropy
0,5545.177444479563
1,5300.698285163623
2,5130.309273491002
3,4986.195833046037
4,4826.87716827308
5,4748.568118933033
6,4673.74252544568
7,4597.547785669343
8,4555.979535703471
9,4516.495299914542
10,4495.6854523882275
11,4413.948965268584
12,4298.257414589497
13,4246.293101050549
14,4192.939634974712
15,4140.973606418462
16,4124.3415043908135
17,4078.6097983426203
18,4050.1924808483095
19,4021.7905965798172
20,4003.0773385587017
