time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_best_idx,root_Q_sa,root_N_sa
300.0,10,"[0.0, 4.303787327448373e-05, 8.58988023663227e-05, 0.00019161169811597148, -0.0039670134673750355, 0.00037483325780105235]","[0.0, 0.0, 0.05]",53.34896501209833,"[0.0, 4.303787327448373e-05, 9.204957186150739e-05, 0.00018873400176695228, 0.0026696964814256225, 0.0002886606537432952]",4393.872277968737,4340.5228129566385,53.349465012098335,0.05,612.9651278181935,1000,11,"[67.81196488047311, -0.0021125436682413257, -0.003367976072950353, -0.003653442544778163, -0.0029480335525343786, -0.002604491525144647, -0.0031099661885213106, 2.497948493442274, -0.002929548642887538, 82.87372908097339, 47.82984225527313, 612.9651278181935, 18.698186523177917]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 985, 1]"
330.0,11,"[0.0, 4.303787327448373e-05, 9.204957186150739e-05, 0.00018873400176695228, 0.0026696964814256225, 0.0002886606537432952]","[-0.0, -0.0, -0.01]",33.272677533556106,"[0.0, 4.303787327448368e-05, 9.810407598641977e-05, 0.00018565892754647038, 0.0013531311186769995, 0.00024503584120187075]",4340.5228129566385,4307.250035423082,33.27277753355611,0.01,362.9550415166466,1000,10,"[47.810371300795644, 85.02736840834629, -0.0033009172883187534, -0.0024055358389114215, -0.0016736826710046053, -0.0033590776182001697, -0.0032562349867337396, -0.0030592466654389343, -0.0031431035441805903, 53.34620667280389, 362.9550415166466, 67.89798640062867, 22.183072982917224]","[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 987, 1, 1]"
360.0,12,"[0.0, 4.303787327448368e-05, 9.810407598641977e-05, 0.00018565892754647038, 0.0013531311186769995, 0.00024503584120187075]","[0.0, 0.0, 0.05]",83.82971872727659,"[0.0, 4.303787327448365e-05, 0.00010405598294538045, 0.00018238969136474093, 0.007982862219537222, -1.3093592642131596e-05]",4307.250035423082,4223.419816695806,83.83021872727659,0.05,326.17024801205326,1000,11,"[30.48568473907373, -0.002651222970310035, -0.002867720742595577, -0.0025086812619576648, -0.004024135632348921, -0.002525642123692968, -0.003887846855962285, -0.002395105817227178, -0.003539733686432864, 56.80912577739802, 49.62932297834715, 326.17024801205326, 22.86867570362525]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 988, 1]"
390.0,13,"[0.0, 4.303787327448365e-05, 0.00010405598294538045, 0.00018238969136474093, 0.007982862219537222, -1.3093592642131596e-05]","[-0.0, -0.0, -0.05]",33.26370334051727,"[0.0, 4.303787327448368e-05, 0.00010989906823874597, 0.00017892971218640635, 0.0013557490892212435, -5.696097020572692e-05]",4223.419816695806,4190.155613355289,33.26420334051727,0.05,269.19868745233254,1000,12,"[19.40614929431268, -0.0023945292222838665, 10.52840939286579, -0.003318247384067754, -0.0029549912494854337, -0.0025252571507734614, -0.0033622162163431148, -0.002658081611656131, -0.003479657740526016, 16.62923776393045, 23.55607193147837, 11.082377968613391, 269.19868745233254]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 988]"
420.0,14,"[0.0, 4.303787327448368e-05, 0.00010989906823874597, 0.00017892971218640635, 0.0013557490892212435, -5.696097020572692e-05]","[-0.0, -0.0, -0.05]",63.73931243265643,"[0.0, 4.303787327448365e-05, 0.00011562722117248569, 0.00017528260845498574, -0.005269317159954583, 0.00011347958498023771]",4190.155613355289,4126.415800922632,63.739812432656436,0.05,257.2601663327595,1000,12,"[40.88055639425704, -0.0026036993303147154, -0.0037100581292696137, -0.004257695169845669, -0.004367170027637379, -0.0017518757029860168, -0.0025322423031690086, -0.0032962020773017364, -0.003060945443993337, 43.64887204395816, 51.32937050978077, 17.32259548485139, 257.2601663327595]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 988]"
450.0,15,"[0.0, 4.303787327448365e-05, 0.00011562722117248569, 0.00017528260845498574, -0.005269317159954583, 0.00011347958498023771]","[0.0, 0.0, 0.0]",38.1173764041132,"[0.0, 4.303787327448365e-05, 0.00012123445124874078, 0.00017145219430870942, -0.005262892520071551, 0.00028380146330496815]",4126.415800922632,4088.298424518519,38.1173764041132,0.0,219.34880416017532,1000,0,"[219.34880416017532, -0.0026176489931830477, 40.63132376480571, -0.0034834307747035618, -0.003150281378511173, 29.826599158278913, -0.0028012564375387117, -0.002693339221065249, -0.0033676819241013167, 48.225468185588774, 31.1920561473276, 42.51036457174839, 35.32661943074515]","[983, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 3, 1]"
480.0,16,"[0.0, 4.303787327448365e-05, 0.00012123445124874078, 0.00017145219430870942, -0.005262892520071551, 0.00028380146330496815]","[0.0, 0.0, 0.0]",37.41279683302355,"[0.0, 4.303787327448365e-05, 0.00012671489443068218, 0.00016744247559169636, -0.005250963951306476, 0.0004538265422812998]",4088.298424518519,4050.8856276854954,37.41279683302355,0.0,188.93390301341515,1000,0,"[188.93390301341515, -0.0026863399244576648, -0.0028413860072700066, 1.1854106745265438, -0.002689320411397056, -0.002703468552841723, -0.003296874035921058, -0.0028510478276846, -0.002876262002331524, 40.87125424655126, 35.985572512837855, 45.59056300256134, 21.473693422494833]","[988, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
510.0,17,"[0.0, 4.303787327448365e-05, 0.00012671489443068218, 0.00016744247559169636, -0.005250963951306476, 0.0004538265422812998]","[0.0, 0.0, 0.0]",28.40188412553607,"[0.0, 4.30378732744836e-05, 0.00013206281927511583, 0.00016325764566464524, -0.005233543928547246, 0.0006233770098145944]",4050.8856276854954,4022.4837435599593,28.40188412553607,0.0,157.5968905982271,1000,0,"[157.5968905982271, -0.003165112070538756, -0.0033814555042696137, 9.212935504209046, -0.0035839600450390738, -0.003545943112712734, -0.002347568556640794, -0.0028173298941198688, -0.0028590388291882952, 21.474437739809247, 21.44034523199477, 29.223804608222043, 4.153234009996519]","[980, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1]"
540.0,18,"[0.0, 4.30378732744836e-05, 0.00013206281927511583, 0.00016325764566464524, -0.005233543928547246, 0.0006233770098145944]","[0.0, 0.0, 0.01]",14.54627240453485,"[0.0, 4.3037873274483543e-05, 0.00013727263292642134, 0.0001589020810194214, -0.0038861475658768492, 0.0007494258775561979]",4022.4837435599593,4007.9373711554244,14.54637240453485,0.01,154.9791860330021,1000,9,"[9.693976179551099, -0.003970772823402465, -0.003120923654206524, -0.0035626993288250387, -0.0026178484080573495, -0.002647442711890862, -0.0027970796962032713, -0.003086263759650753, -0.0033313935091930156, 154.9791860330021, 3.4601924690247547, 15.611724324333878, -0.0031246728764006922]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 981, 1, 8, 1]"
570.0,19,"[0.0, 4.3037873274483543e-05, 0.00013727263292642134, 0.0001589020810194214, -0.0038861475658768492, 0.0007494258775561979]","[0.0, 0.0, 0.05]",9.70927591162591,"[0.0, 4.303787327448349e-05, 0.00014233888696555611, 0.00015438033670212478, 0.0027626323974363357, 0.0006604426332896243]",4007.9373711554244,3998.2275952437985,9.709775911625911,0.05,143.42730827738797,1000,11,"[2.0746455413490494, -0.003176346778492579, -0.002761522628441136, -0.0034477523976020378, -0.003231921326288042, 0.6565257621952177, -0.00295581973244934, -0.002839086332989327, -0.003357383038593405, 2.0744579827063108, 2.7001677186172195, 143.42730827738797, -0.003976909858131077]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 988, 1]"
