time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,root_Q_sa,root_N_sa
2280.0,19,"[-1.5867907360130162e-05, 4.480889739502284e-05, -2.7552035224877514e-07, 2.0244436386541826e-05, -2.9723762876947326e-05, 1.246769496979059e-05]","[0.0, 0.01, 0.0]",-0.009999793812753602,"[3.5265732072278783e-06, 7.64833573033865e-05, -1.563133348311529e-05, -1.3825773638138332e-05, -1.9507686262605924e-05, 2.565922200894777e-05]",1430.9597389988444,1430.9585956539763,0.0011433448680691072,0.01,33.281490283965766,2992,"[-0.10696754411122324, 7.369102619430123, 9.114850010104343, -0.16588221388937888, 8.777981518918267, 33.281490283965766, 8.739866376571813, 7.52746352293424, 9.47916547876797, 0.6163621122843495, 8.45105993685478, 0.5655844806381939, 6.529254267754582]","[11, 44, 77, 11, 66, 2354, 55, 44, 264, 11, 33, 11, 11]"
2400.0,20,"[3.5265732072278783e-06, 7.64833573033865e-05, -1.563133348311529e-05, -1.3825773638138332e-05, -1.9507686262605924e-05, 2.565922200894777e-05]","[0.0, 0.0, 0.05]",-0.049873247141630744,"[1.6916245358163547e-05, 9.290676230780192e-05, 1.810805863099168e-05, -1.0372502869123263e-05, -9.698147642852587e-06, 3.5463373328766754e-05]",1430.9585956539763,1430.2557285627238,0.7028670912525286,0.05,279.9717732385126,2992,"[157.8084247930117, 117.04444891333816, 131.21263181838205, -0.11454743376242972, 144.42486574373444, 163.67222454211284, 111.76254307275896, 197.43159526399856, 111.3251495194564, 159.6808490515357, 114.4676690120068, 279.9717732385126, 4.508635341931167]","[11, 11, 11, 11, 11, 11, 11, 22, 11, 22, 11, 2838, 11]"
2520.0,21,"[1.6916245358163547e-05, 9.290676230780192e-05, 1.810805863099168e-05, -1.0372502869123263e-05, -9.698147642852587e-06, 3.5463373328766754e-05]","[-0.0, -0.05, -0.0]",-0.029371805311232926,"[-2.8436933007437013e-05, 5.509874669497042e-05, 6.930095719599753e-06, 3.183747188396381e-05, 9.332844436020857e-06, 3.556125602802982e-05]",1430.2557285627238,1315.8687286542395,114.38699990848431,0.05,466.29604695992225,2992,"[288.6766528684379, 242.79947309773027, 284.83259649664745, 254.31309373117193, 226.9588482748607, 190.8805345878006, 218.0636937606391, 214.5027447982223, 466.29604695992225, 265.80050391838773, 201.8342379456894, 173.27256104135174, 248.34181383727767]","[22, 11, 11, 11, 11, 11, 11, 11, 2849, 11, 11, 11, 11]"
2640.0,22,"[-2.8436933007437013e-05, 5.509874669497042e-05, 6.930095719599753e-06, 3.183747188396381e-05, 9.332844436020857e-06, 3.556125602802982e-05]","[-0.0, -0.0, -0.01]",-0.01,"[-1.7627647321570748e-05, 5.21097688588972e-05, -2.9942689817006453e-05, 1.284858627116381e-05, 2.7130807111811436e-05, 2.574441426622881e-05]",1315.8687286542395,1315.8687286542395,0.0,0.01,0.8540409435040552,2992,"[0.29288469523767025, -0.110210180398752, -0.12178367804385053, 0.10023067730742574, 0.21783799938755585, -0.052506294725323435, 0.02816934903589545, 0.24848297923059992, 0.111869864817629, -0.12252115784127453, 0.8540409435040552, -0.09090380828577078, 0.3256263061344366]","[308, 121, 110, 187, 253, 132, 154, 275, 187, 110, 682, 121, 352]"
2760.0,23,"[-1.7627647321570748e-05, 5.21097688588972e-05, -2.9942689817006453e-05, 1.284858627116381e-05, 2.7130807111811436e-05, 2.574441426622881e-05]","[0.01, 0.0, 0.0]",-0.00799938151383087,"[2.028620436225535e-05, 5.601941587970819e-05, -2.5907434454607748e-05, -2.1257261832659463e-05, 3.6368175317118626e-05, 8.729913204198952e-06]",1315.8687286542395,1304.7749441497256,11.093784504513906,0.01,11.180166550984401,2992,"[8.240962351960434, 11.180166550984401, 6.206891997546706, 6.073306483164386, 8.847601309250692, 11.16368032596405, 6.149164865195618, 5.459014481982329, 7.456993182256756, 8.230871890213246, 6.0703496047857355, 6.127682393877481, 6.03053868698423]","[22, 1485, 11, 11, 22, 1353, 11, 11, 11, 22, 11, 11, 11]"
2880.0,24,"[2.028620436225535e-05, 5.601941587970819e-05, -2.5907434454607748e-05, -2.1257261832659463e-05, 3.6368175317118626e-05, 8.729913204198952e-06]","[-0.05, -0.0, -0.0]",-0.04974804121610379,"[3.4282284257230074e-05, 5.2427290857637106e-05, 5.748657975240284e-06, -3.496211783542137e-05, 3.5860720316010396e-05, -1.0623761050889805e-05]",1304.7749441497256,1303.3777879843258,1.3971561653997924,0.05,120.38395424139841,2992,"[0.5489965995680021, 0.6229787344812907, 1.2361613296282348, -0.10759084230410884, 120.38395424139841, 0.5381128508870653, 47.182008702818095, 43.86970376235701, 6.827200055787855, 1.274334293658166, 55.52997507048708, 1.1532108194433228, 1.2113977858154035]","[11, 11, 11, 11, 2838, 11, 11, 22, 11, 11, 22, 11, 11]"
3000.0,25,"[3.4282284257230074e-05, 5.2427290857637106e-05, 5.748657975240284e-06, -3.496211783542137e-05, 3.5860720316010396e-05, -1.0623761050889805e-05]","[-0.05, -0.0, -0.0]",0.07236344929870332,"[2.0343853525481597e-05, 3.456584096711174e-05, 3.0799739694441516e-05, -2.7800056043394275e-05, 2.574441426622883e-05, -2.713080711181143e-05]",1303.3777879843258,624.8507489044375,678.5270390798883,0.05,954.7844245530752,2992,"[914.8521934898528, 909.1512130764894, 915.1110552866811, 888.6735055671835, 954.7844245530752, 898.9718527730239, 889.6186905936404, 800.6439642240082, 920.6113236611084, 899.5630943506729, 922.6863025681267, 884.7541177931846, 921.047891593297]","[11, 11, 11, 11, 2849, 11, 11, 11, 11, 11, 11, 11, 22]"
3120.0,26,"[2.0343853525481597e-05, 3.456584096711174e-05, 3.0799739694441516e-05, -2.7800056043394275e-05, 2.574441426622883e-05, -2.713080711181143e-05]","[-0.05, -0.0, -0.0]",-0.030923098694873804,"[2.439637888551186e-06, 1.7985984384301697e-05, 4.4260729497297476e-05, -1.881242162764807e-05, 8.72991320419898e-06, -3.6368175317118626e-05]",624.8507489044375,519.065946076689,105.78480282774854,0.05,298.0308804383052,2992,"[283.290216877127, 275.58011052599267, 280.6855175817872, 268.5802004229591, 298.0308804383052, 275.9086802386859, 279.9578775478567, 251.36440740570362, 263.83991311196206, 279.391116253907, 277.2620273010812, 278.54468959631646, 278.6257617077245]","[11, 11, 11, 11, 2860, 11, 11, 11, 11, 11, 11, 11, 11]"
3240.0,27,"[2.439637888551186e-06, 1.7985984384301697e-05, 4.4260729497297476e-05, -1.881242162764807e-05, 8.72991320419898e-06, -3.6368175317118626e-05]","[-0.0, -0.05, -0.0]",-0.037726391422149556,"[-2.103030405788436e-05, 1.2551277199799595e-05, 5.3305840132202886e-05, -4.070413776485871e-06, -1.0623761050889778e-05, -3.58607203160104e-05]",519.065946076689,451.0066086284218,68.05933744826717,0.05,196.58827706068638,2992,"[183.435617877476, 180.0709956083733, 183.44861973630125, 159.96669522584583, 181.39637691066628, 174.3750192527946, 184.3028218107235, 180.6250308323508, 196.58827706068638, 175.3656855028194, 172.6379526873536, 181.82732553487992, 178.69833510117778]","[44, 22, 22, 11, 11, 11, 132, 11, 2673, 11, 11, 22, 11]"
3360.0,28,"[-2.103030405788436e-05, 1.2551277199799595e-05, 5.3305840132202886e-05, -4.070413776485871e-06, -1.0623761050889778e-05, -3.58607203160104e-05]","[0.0, 0.05, 0.0]",-0.04023690686114253,"[-5.74733169595955e-06, -3.8522115554175964e-05, 4.2887239461534705e-05, -2.2955314806954294e-05, -2.713080711181142e-05, -2.5744414266228837e-05]",451.0066086284218,396.8685247664762,54.13808386194563,0.05,165.73386963367113,2992,"[151.3064637787113, 149.9493551179696, 150.06666297678865, 140.88127860842516, 149.97531003612974, 148.5889605481755, 153.00206805544448, 165.73386963367113, 152.07242863851457, 152.17693069196275, 149.33401745751692, 152.13173699204933, 150.6352945867461]","[11, 11, 11, 11, 22, 11, 99, 2728, 22, 22, 11, 22, 11]"
3480.0,29,"[-5.74733169595955e-06, -3.8522115554175964e-05, 4.2887239461534705e-05, -2.2955314806954294e-05, -2.713080711181142e-05, -2.5744414266228837e-05]","[-0.05, -0.0, -0.0]",-0.04449618562452553,"[9.730201357716874e-06, -0.00014229848493680473, 3.364404273839565e-05, -4.3839837579598294e-05, -3.636817531711863e-05, -8.72991320419897e-06]",396.8685247664762,366.34889743299277,30.519627333483413,0.05,71.99214193141039,2992,"[59.47083072996566, 58.91650663292235, 59.468273457183265, 56.677176710157944, 71.99214193141039, 56.8240226638868, 58.09147645541832, 56.14755918685974, 57.42818369653879, 58.22345508494471, 58.167024012244426, 61.18511768297341, 61.02534982108061]","[11, 11, 11, 11, 2827, 11, 11, 11, 11, 11, 11, 22, 33]"
3600.0,30,"[9.730201357716874e-06, -0.00014229848493680473, 3.364404273839565e-05, -4.3839837579598294e-05, -3.636817531711863e-05, -8.72991320419897e-06]","[-0.05, -0.0, -0.0]",-0.049748144277501745,"[3.8020238603245565e-05, -0.0003165844096164033, 1.633908796349016e-06, -6.079523934177433e-05, -3.58607203160104e-05, 1.0623761050889812e-05]",366.34889743299277,364.95231276133234,1.3965846716604347,0.05,20.178484313383013,2992,"[16.18569816975616, 15.970971142690846, 15.242013179415096, 14.933210711789568, 20.178484313383013, 14.082439464403619, 14.73371814749453, 16.40878318893702, 15.09657097342814, 15.689337246417383, 13.486965006912168, 14.083172909239693, 16.204050064545545]","[110, 77, 33, 33, 2332, 11, 22, 154, 22, 55, 11, 11, 121]"
3720.0,31,"[3.8020238603245565e-05, -0.0003165844096164033, 1.633908796349016e-06, -6.079523934177433e-05, -3.58607203160104e-05, 1.0623761050889812e-05]","[-0.0, -0.0, -0.05]",-0.04924938147465582,"[6.064112719015822e-05, -0.0004475116206256878, -4.8454205512774544e-05, -3.67548738632609e-05, -2.1464698373068204e-05, 3.2189230387086036e-05]",364.95231276133234,360.78999984518526,4.162312916147073,0.05,7.929796405323687,2992,"[6.748925478377943, 6.751950760359886, 6.575822256719745, 6.895699833960063, 7.514126424833465, 6.7364385077021725, 6.458515786875398, 5.686290516104065, 6.002194038184766, 6.0872722847619825, 6.8415995680837325, 7.42442610660907, 7.929796405323687]","[66, 77, 55, 77, 286, 77, 55, 22, 33, 33, 77, 231, 1903]"
