time,step,action,reward,entropy,state,next_state
0.0,1,"[0.0, 0.0, 0.05]",-0.04692447468945953,4685.7796148133575,"[0.0, 2.8804922346508676e-05, 1.4652052151640672e-05, 7.426501648708483e-07, 5.721662549162039e-06, 1.330439735743672e-06]","[0.0, 2.8804922346508676e-05, 1.4652052151640672e-05, 7.426501648708483e-07, 1.1459929763095912e-05, 4.643429856390397e-06]"
120.0,2,"[-0.0, -0.0, -0.05]",-0.049408529519996996,4682.999564379923,"[0.0, 2.8804922346508676e-05, 1.4652052151640672e-05, 7.426501648708483e-07, 1.1459929763095912e-05, 4.643429856390397e-06]","[0.0, 2.8804922346508676e-05, 1.4652052151640672e-05, 7.426501648708483e-07, 6.1969855441496235e-06, 6.178824021587305e-07]"
240.0,3,"[0.05, 0.0, 0.0]",-0.048673857840751816,4676.766384180304,"[0.0, 2.8804922346508676e-05, 1.4652052151640672e-05, 7.426501648708483e-07, 6.1969855441496235e-06, 6.178824021587305e-07]","[0.0, 1.5552961863921776e-05, 1.9322886327054335e-05, -3.957022404978988e-06, 6.1969855441496235e-06, 6.178824021587305e-07]"
360.0,4,"[-0.0, -0.05, -0.0]",-0.0455789182829226,4655.9862597965,"[0.0, 1.5552961863921776e-05, 1.9322886327054335e-05, -3.957022404978988e-06, 6.1969855441496235e-06, 6.178824021587305e-07]","[-1.32519604825869e-05, 1.8131955130484354e-05, 1.1207156215771379e-05, -1.443315630030793e-05, 6.1969855441496235e-06, 6.178824021587305e-07]"
480.0,5,"[-0.0, -0.0, -0.05]",-0.04999999998479266,4655.986259725022,"[-1.32519604825869e-05, 1.8131955130484354e-05, 1.1207156215771379e-05, -1.443315630030793e-05, 6.1969855441496235e-06, 6.178824021587305e-07]","[-1.32519604825869e-05, 2.070342629750019e-05, 1.1207156215771379e-05, -1.443315630030793e-05, 2.8487386720590204e-06, -5.0998843858054916e-06]"
600.0,6,"[0.01, 0.0, 0.0]",-0.01,4655.986259725022,"[-1.32519604825869e-05, 2.070342629750019e-05, 1.1207156215771379e-05, -1.443315630030793e-05, 2.8487386720590204e-06, -5.0998843858054916e-06]","[-1.32519604825869e-05, 2.0624505367998647e-05, 1.24275397096422e-05, -1.4949691579072212e-05, 2.8487386720590204e-06, -5.0998843858054916e-06]"
720.0,7,"[0.0, 0.01, 0.0]",-0.01,4655.986259725022,"[-1.32519604825869e-05, 2.0624505367998647e-05, 1.24275397096422e-05, -1.4949691579072212e-05, 2.8487386720590204e-06, -5.0998843858054916e-06]","[-1.0601568386069519e-05, 2.267889039502262e-05, 1.3137118513614586e-05, -1.2396051787277975e-05, 2.8487386720590204e-06, -5.0998843858054916e-06]"
840.0,8,"[0.0, 0.01, 0.0]",-0.01,4655.986259725022,"[-1.0601568386069519e-05, 2.267889039502262e-05, 1.3137118513614586e-05, -1.2396051787277975e-05, 2.8487386720590204e-06, -5.0998843858054916e-06]","[-7.951176289552138e-06, 2.4218635077553105e-05, 1.35113478474757e-05, -9.772212868639932e-06, 2.8487386720590204e-06, -5.0998843858054916e-06]"
960.0,9,"[-0.0, -0.05, -0.0]",-0.05,4655.986259725022,"[-7.951176289552138e-06, 2.4218635077553105e-05, 1.35113478474757e-05, -9.772212868639932e-06, 2.8487386720590204e-06, -5.0998843858054916e-06]","[-2.1203136772139038e-05, 2.8350120985768555e-05, 1.3348217116110201e-05, -2.3023169249087685e-05, 2.8487386720590204e-06, -5.0998843858054916e-06]"
1080.0,10,"[0.0, 0.0, 0.0]",0.0027996332225714584,4642.827324804334,"[-2.1203136772139038e-05, 2.8350120985768555e-05, 1.3348217116110201e-05, -2.3023169249087685e-05, 2.8487386720590204e-06, -5.0998843858054916e-06]","[-2.1203136772139038e-05, 3.246451574475767e-05, 1.3348217116110201e-05, -2.3023169249087685e-05, 2.8487386720590204e-06, -5.0998843858054916e-06]"
1200.0,11,"[0.0, 0.0, 0.01]",-0.008820477397363245,4637.283291021466,"[-2.1203136772139038e-05, 3.246451574475767e-05, 1.3348217116110201e-05, -2.3023169249087685e-05, 2.8487386720590204e-06, -5.0998843858054916e-06]","[-2.1203136772139038e-05, 3.657891050374679e-05, 1.3348217116110201e-05, -2.3023169249087685e-05, 2.5254895458342824e-06, -3.814717249314914e-06]"
