time,action,reward,entropy
0.0,"[-0.0, -0.01, -0.0]",429.39672372771224,5545.177444479563
30.0,"[0.05, 0.0, 0.0]",208.00765623642576,5115.780620751851
60.0,"[-0.01, -0.0, -0.0]",403.0914291073743,4907.772464515425
90.0,"[-0.0, -0.0, -0.01]",2407.0696751600053,4504.680935408051
120.0,"[0.0, 0.0, 0.0]",530.3591564080189,2097.611160248045
