time,state,action,reward,next_state
0.0,"[-1.9098907561194232e-05, 6.166820030955787e-05, 5.334291207231876e-05, 0.00012790376038229406, -4.707451210850777e-05, -7.824125363845849e-06]","[0.0, 0.0, 0.01]",111.50465906477712,"[ 0.00000000e+00  6.16682003e-05  5.74507349e-05  1.26112058e-04
  1.27720022e-03 -4.91475716e-05]"
30.0,"[0.0, 6.166820030955785e-05, 5.745073490113106e-05, 0.0001261120582958124, 0.001277200217002801, -4.9147571624742856e-05]","[-0.0, -0.0, -0.05]",164.14497155517893,"[ 0.00000000e+00  6.16682003e-05  6.14984758e-05  1.24188468e-04
 -5.34757232e-03  1.23828744e-04]"
60.0,"[0.0, 6.166820030955786e-05, 6.149847579630876e-05, 0.0001241884683173814, -0.005347572315948736, 0.00012382874361779395]","[0.0, 0.0, 0.05]",103.25491417287867,"[0.00000000e+00 6.16682003e-05 6.54819016e-05 1.22135002e-04
 1.28174340e-03 8.24271958e-05]"
90.0,"[0.0, 6.16682003095578e-05, 6.548190163358896e-05, 0.00012213500213589633, 0.001281743398155483, 8.242719584562539e-05]","[-0.0, -0.0, -0.05]",90.04339192847328,"[ 0.00000000e+00  6.16682003e-05  6.93968465e-05  1.19953807e-04
 -5.33877709e-03  2.55187809e-04]"
120.0,"[0.0, 6.16682003095578e-05, 6.939684654934592e-05, 0.00011995380726468401, -0.005338777094093202, 0.00025518780878795825]","[0.0, 0.0, 0.01]",83.80563938581236,"[ 0.00000000e+00  6.16682003e-05  7.32392163e-05  1.17647165e-04
 -4.00323095e-03  3.84831874e-04]"
150.0,"[0.0, 6.166820030955778e-05, 7.323921629724815e-05, 0.00011764716479563513, -0.004003230952375031, 0.00038483187391711893]","[0.0, 0.0, 0.01]",51.954596179736654,"[ 0.00000000e+00  6.16682003e-05  7.70049925e-05  1.15217487e-04
 -2.66419118e-03  4.71223810e-04]"
180.0,"[0.0, 6.166820030955775e-05, 7.700499253001791e-05, 0.00011521748701364006, -0.0026641911793527906, 0.00047122380957117366]","[0.0, 0.0, 0.05]",47.8180062715719,"[0.00000000e+00 6.16682003e-05 8.06902370e-05 1.12667315e-04
 3.97495427e-03 3.42874577e-04]"
210.0,"[0.0, 6.166820030955772e-05, 8.069023700181574e-05, 0.00011266731487382327, 0.00397495427327875, 0.00034287457672220315]","[0.0, 0.0, 0.01]",109.43264850791456,"[0.00000000e+00 6.16682003e-05 8.42910957e-05 1.09999315e-04
 5.30846558e-03 1.71317093e-04]"
240.0,"[0.0, 6.16682003095577e-05, 8.42910956868548e-05, 0.00010999931534421442, 0.005308465584309348, 0.0001713170933067236]","[0.0, 0.0, 0.05]",54.72318346543307,"[ 0.00000000e+00  6.16682003e-05  8.78038028e-05  1.07216279e-04
  1.19337448e-02 -2.14667916e-04]"
270.0,"[0.0, 6.166820030955767e-05, 8.780380280993803e-05, 0.00010721627861663525, 0.011933744776740226, -0.00021466791640243133]","[-0.0, -0.0, -0.01]",29.09445957619937,"[ 0.00000000e+00  6.16682003e-05  9.12246848e-05  1.04321115e-04
  1.05960603e-02 -5.57578754e-04]"
