time,action,reward,entropy
0.0,"[0.01, 0.0, 0.0]",631.6287761930209,5545.177444479563
30.0,"[-0.05, -0.0, -0.0]",499.6431123603071,4913.548568286542
60.0,"[-0.05, -0.0, -0.0]",142.71064230120658,4413.904955926235
90.0,"[0.05, 0.0, 0.0]",108.26078015256199,4271.193813625028
120.0,"[-0.0, -0.0, -0.05]",-0.0005,4162.932533472466
