time,step,action,reward,entropy,state,next_state
0.0,1,"[0.05, 0.0, 0.0]",-0.04176955353817748,4889.592877450952,"[0.0, 2.764115102346316e-05, 1.3894048717206079e-05, -8.330982231020731e-07, 6.844217243916047e-06, -7.815035389336012e-07]","[0.0, 1.438919054087626e-05, 1.7207038837852805e-05, -6.571365437035946e-06, 6.844217243916047e-06, -7.815035389336012e-07]"
120.0,2,"[-0.0, -0.01, -0.0]",0.006580463615831622,4807.8483668319495,"[0.0, 1.438919054087626e-05, 1.7207038837852805e-05, -6.571365437035946e-06, 6.844217243916047e-06, -7.815035389336012e-07]","[-2.65039209651738e-06, 1.4903990811535485e-05, 1.5101861150274289e-05, -8.181584418728612e-06, 6.844217243916047e-06, -7.815035389336012e-07]"
240.0,3,"[0.0, 0.05, 0.0]",-0.043813794724699165,4777.349320814002,"[-2.65039209651738e-06, 1.4903990811535485e-05, 1.5101861150274289e-05, -8.181584418728612e-06, 6.844217243916047e-06, -7.815035389336012e-07]","[1.0601568386069519e-05, 1.2841789541264934e-05, 2.4501206289973962e-05, 1.1600839320987173e-06, 6.844217243916047e-06, -7.815035389336012e-07]"
360.0,4,"[0.0, 0.05, 0.0]",-0.05,4777.349320814002,"[1.0601568386069519e-05, 1.2841789541264934e-05, 2.4501206289973962e-05, 1.1600839320987173e-06, 6.844217243916047e-06, -7.815035389336012e-07]","[2.385352886865642e-05, 8.205834022849505e-06, 3.2616936401256917e-05, 1.163621782742766e-05, 6.844217243916047e-06, -7.815035389336012e-07]"
480.0,5,"[0.0, 0.0, 0.05]",-0.05,4777.349320814002,"[2.385352886865642e-05, 8.205834022849505e-06, 3.2616936401256917e-05, 1.163621782742766e-05, 6.844217243916047e-06, -7.815035389336012e-07]","[2.385352886865642e-05, 3.5774006039808167e-06, 3.2616936401256917e-05, 1.163621782742766e-05, 1.019246411600665e-05, 4.936263249030621e-06]"
600.0,6,"[-0.0, -0.05, -0.0]",-0.05,4777.349320814002,"[2.385352886865642e-05, 3.5774006039808167e-06, 3.2616936401256917e-05, 1.163621782742766e-05, 1.019246411600665e-05, 4.936263249030621e-06]","[1.0601568386069519e-05, 1.5322642400438477e-06, 2.745158361361411e-05, -5.676171112805621e-07, 1.019246411600665e-05, 4.936263249030621e-06]"
720.0,7,"[-0.0, -0.01, -0.0]",-0.007470370598421433,4764.877816863893,"[1.0601568386069519e-05, 1.5322642400438477e-06, 2.745158361361411e-05, -5.676171112805621e-07, 1.019246411600665e-05, 4.936263249030621e-06]","[7.951176289552138e-06, -7.792477107145644e-09, 2.6742004809641725e-05, -3.1212569030747982e-06, 1.019246411600665e-05, 4.936263249030621e-06]"
840.0,8,"[0.0, 0.0, 0.01]",-0.00016498716718882714,4716.389527900603,"[7.951176289552138e-06, -7.792477107145644e-09, 2.6742004809641725e-05, -3.1212569030747982e-06, 1.019246411600665e-05, 4.936263249030621e-06]","[7.951176289552138e-06, -1.5506342855528728e-06, 2.6742004809641725e-05, -3.1212569030747982e-06, 1.0379578782937208e-05, 6.248182708349643e-06]"
960.0,9,"[-0.0, -0.01, -0.0]",-0.01,4716.389527900603,"[7.951176289552138e-06, -1.5506342855528728e-06, 2.6742004809641725e-05, -3.1212569030747982e-06, 1.0379578782937208e-05, 6.248182708349643e-06]","[5.300784193034758e-06, -2.575780668985071e-06, 2.6709378663368623e-05, -5.771448179164349e-06, 1.0379578782937208e-05, 6.248182708349643e-06]"
1080.0,10,"[-0.0, -0.0, -0.01]",0.029615556170717636,4521.0780862481015,"[5.300784193034758e-06, -2.575780668985071e-06, 2.6709378663368623e-05, -5.771448179164349e-06, 1.0379578782937208e-05, 6.248182708349643e-06]","[5.300784193034758e-06, -3.6043452822625367e-06, 2.6709378663368623e-05, -5.771448179164349e-06, 1.0534339910099133e-05, 4.932054462379662e-06]"
1200.0,11,"[-0.0, -0.05, -0.0]",-0.05,4521.0780862481015,"[5.300784193034758e-06, -3.6043452822625367e-06, 2.6709378663368623e-05, -5.771448179164349e-06, 1.0534339910099133e-05, 4.932054462379662e-06]","[-7.951176289552142e-06, -2.042353625722646e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.0534339910099133e-05, 4.932054462379662e-06]"
1320.0,12,"[-0.0, -0.0, -0.01]",0.15745402789879764,3695.501197752789,"[-7.951176289552142e-06, -2.042353625722646e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.0534339910099133e-05, 4.932054462379662e-06]","[-7.951176289552142e-06, -4.994811484540873e-07, 2.9941869925616003e-05, -1.862311954407013e-05, 1.1020675244219871e-05, 3.69932476406534e-06]"
1440.0,13,"[0.0, 0.0, 0.0]",0.12605342924241691,3074.0363145012952,"[-7.951176289552142e-06, -4.994811484540873e-07, 2.9941869925616003e-05, -1.862311954407013e-05, 1.1020675244219871e-05, 3.69932476406534e-06]","[-7.951176289552142e-06, 1.0433913288144714e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.1020675244219871e-05, 3.69932476406534e-06]"
1560.0,14,"[0.0, 0.0, 0.0]",0.0035155190798285,3056.7042064607244,"[-7.951176289552142e-06, 1.0433913288144714e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.1020675244219871e-05, 3.69932476406534e-06]","[-7.951176289552142e-06, 2.5862638060830303e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.1020675244219871e-05, 3.69932476406534e-06]"
1680.0,15,"[-0.0, -0.0, -0.05]",-0.05,3056.7042064607244,"[-7.951176289552142e-06, 2.5862638060830303e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.1020675244219871e-05, 3.69932476406534e-06]","[-7.951176289552142e-06, 4.129136283351589e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.5603936901491494e-05, -1.0857903587916817e-06]"
1800.0,16,"[0.0, 0.0, 0.05]",-0.05,3056.7042064607244,"[-7.951176289552142e-06, 4.129136283351589e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.5603936901491494e-05, -1.0857903587916817e-06]","[-7.951176289552142e-06, 5.672008760620148e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]"
1920.0,17,"[0.0, 0.0, 0.0]",0.016160651605537583,2977.029440580385,"[-7.951176289552142e-06, 5.672008760620148e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]","[-7.951176289552142e-06, 7.214881237888707e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]"
2040.0,18,"[-0.01, -0.0, -0.0]",0.09048905178407429,2481.6012938780623,"[-7.951176289552142e-06, 7.214881237888707e-06, 2.9941869925616003e-05, -1.862311954407013e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]","[-7.951176289552142e-06, 1.1408145811674646e-05, 2.9402889160627363e-05, -1.9833757516914493e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]"
2160.0,19,"[-0.0, -0.05, -0.0]",0.037624994929895184,2049.595139255371,"[-7.951176289552142e-06, 1.1408145811674646e-05, 2.9402889160627363e-05, -1.9833757516914493e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]","[-2.120313677213904e-05, 1.553698027516494e-05, 4.210340196461975e-05, -2.3616802738382286e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]"
2280.0,20,"[0.0, 0.01, 0.0]",0.07425876861771591,1634.1850538921162,"[-2.120313677213904e-05, 1.553698027516494e-05, 4.210340196461975e-05, -2.3616802738382286e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]","[-1.855274467562166e-05, 1.9134552410935866e-05, 3.948692024629933e-05, -2.319418981503893e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]"
2400.0,21,"[-0.05, -0.0, -0.0]",0.025684455282442203,1261.04779417028,"[-1.855274467562166e-05, 1.9134552410935866e-05, 3.948692024629933e-05, -2.319418981503893e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]","[-1.855274467562166e-05, 3.59865963808738e-05, 3.928303387006987e-05, -2.9817032445178894e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]"
2520.0,22,"[0.0, 0.01, 0.0]",0.06933047935217207,869.9350145721123,"[-1.855274467562166e-05, 3.59865963808738e-05, 3.928303387006987e-05, -2.9817032445178894e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]","[-1.590235257910428e-05, 3.907073273783803e-05, 3.6645511008823065e-05, -3.0077899119329205e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]"
2640.0,23,"[0.0, 0.0, 0.01]",0.05092439850119462,569.5673496123738,"[-1.590235257910428e-05, 3.907073273783803e-05, 3.6645511008823065e-05, -3.0077899119329205e-05, 1.0441688637747616e-05, 3.0681002297390907e-06]","[-1.590235257910428e-05, 4.215650836119798e-05, 3.6645511008823065e-05, -3.0077899119329205e-05, 9.150772022878654e-06, 2.7686359417585247e-06]"
2760.0,24,"[0.05, 0.0, 0.0]",-0.018880839985194048,416.14458863144364,"[-1.590235257910428e-05, 4.215650836119798e-05, 3.6645511008823065e-05, -3.0077899119329205e-05, 9.150772022878654e-06, 2.7686359417585247e-06]","[-1.590235257910428e-05, 3.199032350197103e-05, 3.4328056437258527e-05, -2.3870402162685098e-05, 9.150772022878654e-06, 2.7686359417585247e-06]"
2880.0,25,"[-0.05, -0.0, -0.0]",-0.044211453619543935,387.60606871852826,"[-1.590235257910428e-05, 3.199032350197103e-05, 3.4328056437258527e-05, -2.3870402162685098e-05, 9.150772022878654e-06, 2.7686359417585247e-06]","[-1.590235257910428e-05, 4.8328059607917874e-05, 3.742691733623824e-05, -2.972707999971744e-05, 9.150772022878654e-06, 2.7686359417585247e-06]"
3000.0,26,"[-0.0, -0.0, -0.01]",-0.005075883160754061,363.3293337259911,"[-1.590235257910428e-05, 4.8328059607917874e-05, 3.742691733623824e-05, -2.972707999971744e-05, 9.150772022878654e-06, 2.7686359417585247e-06]","[-1.590235257910428e-05, 5.141383523127782e-05, 3.742691733623824e-05, -2.972707999971744e-05, 1.0232369668219683e-05, 3.534332422038531e-06]"
3120.0,27,"[-0.0, -0.0, -0.01]",-0.0033937547210994533,330.7594189235373,"[-1.590235257910428e-05, 5.141383523127782e-05, 3.742691733623824e-05, -2.972707999971744e-05, 1.0232369668219683e-05, 3.534332422038531e-06]","[-1.590235257910428e-05, 5.449961085463777e-05, 3.742691733623824e-05, -2.972707999971744e-05, 1.1206154896832644e-05, 4.433157708095646e-06]"
3240.0,28,"[0.0, 0.0, 0.01]",-0.007184546884849683,316.8787553666416,"[-1.590235257910428e-05, 5.449961085463777e-05, 3.742691733623824e-05, -2.972707999971744e-05, 1.1206154896832644e-05, 4.433157708095646e-06]","[-1.590235257910428e-05, 5.7585386477997715e-05, 3.742691733623824e-05, -2.972707999971744e-05, 1.0356454934646463e-05, 3.4162238161531796e-06]"
3360.0,29,"[-0.0, -0.05, -0.0]",-0.047889482463469246,306.4735443198408,"[-1.590235257910428e-05, 5.7585386477997715e-05, 3.742691733623824e-05, -2.972707999971744e-05, 1.0356454934646463e-05, 3.4162238161531796e-06]","[-2.915431306169118e-05, 6.323354723619512e-05, 4.454107158982144e-05, -1.8546594058208958e-05, 1.0356454934646463e-05, 3.4162238161531796e-06]"
