time,step,action,reward,entropy,state,next_state
0.0,1,"[0.01, 0.0, 0.0]",-0.009763108805906136,4843.1434461890585,"[0.0, 2.682325371412859e-05, 1.3111151146205037e-05, -1.1327426905632318e-06, 6.168226472683099e-06, 1.1570575912171914e-06]","[0.0, 2.417286161761121e-05, 1.3773749170334383e-05, -2.2803961333500064e-06, 6.168226472683099e-06, 1.1570575912171914e-06]"
120.0,2,"[0.0, 0.05, 0.0]",-0.049707335319097726,4841.725693304642,"[0.0, 2.417286161761121e-05, 1.3773749170334383e-05, -2.2803961333500064e-06, 6.168226472683099e-06, 1.1570575912171914e-06]","[1.32519604825869e-05, 2.1598911379019808e-05, 2.4299637608226958e-05, 5.770698775113326e-06, 6.168226472683099e-06, 1.1570575912171914e-06]"
240.0,3,"[0.0, 0.0, 0.01]",-0.009999763575205111,4841.724547994132,"[1.32519604825869e-05, 2.1598911379019808e-05, 2.4299637608226958e-05, 5.770698775113326e-06, 6.168226472683099e-06, 1.1570575912171914e-06]","[1.32519604825869e-05, 1.90275254031785e-05, 2.4299637608226958e-05, 5.770698775113326e-06, 7.108160986653066e-06, 2.0912244262999245e-06]"
360.0,4,"[-0.0, -0.0, -0.01]",-0.007283620056522477,4828.565613037705,"[1.32519604825869e-05, 1.90275254031785e-05, 2.4299637608226958e-05, 5.770698775113326e-06, 7.108160986653066e-06, 2.0912244262999245e-06]","[1.32519604825869e-05, 1.6456139427337192e-05, 2.4299637608226958e-05, 5.770698775113326e-06, 6.296587975524771e-06, 1.0436110367670301e-06]"
480.0,5,"[-0.01, -0.0, -0.0]",-0.01,4828.565613037705,"[1.32519604825869e-05, 1.6456139427337192e-05, 2.4299637608226958e-05, 5.770698775113326e-06, 6.296587975524771e-06, 1.0436110367670301e-06]","[1.32519604825869e-05, 1.6535145548013264e-05, 2.3156084250634115e-05, 6.440348149531447e-06, 6.296587975524771e-06, 1.0436110367670301e-06]"
600.0,6,"[0.0, 0.0, 0.05]",-0.05,4828.565613037705,"[1.32519604825869e-05, 1.6535145548013264e-05, 2.3156084250634115e-05, 6.440348149531447e-06, 6.296587975524771e-06, 1.0436110367670301e-06]","[1.32519604825869e-05, 1.3963759572171958e-05, 2.3156084250634115e-05, 6.440348149531447e-06, 8.879264369346174e-06, 7.145528506121141e-06]"
720.0,7,"[0.05, 0.0, 0.0]",-0.05,4828.565613037705,"[1.32519604825869e-05, 1.3963759572171958e-05, 2.3156084250634115e-05, 6.440348149531447e-06, 8.879264369346174e-06, 7.145528506121141e-06]","[1.32519604825869e-05, -1.8595868862562476e-06, 2.9540183730119706e-05, 4.666401139600481e-06, 8.879264369346174e-06, 7.145528506121141e-06]"
840.0,8,"[0.0, 0.0, 0.0]",0.007720591697406064,4791.164820039197,"[1.32519604825869e-05, -1.8595868862562476e-06, 2.9540183730119706e-05, 4.666401139600481e-06, 8.879264369346174e-06, 7.145528506121141e-06]","[1.32519604825869e-05, -4.430972862097554e-06, 2.9540183730119706e-05, 4.666401139600481e-06, 8.879264369346174e-06, 7.145528506121141e-06]"
960.0,9,"[-0.0, -0.05, -0.0]",-0.03670179309753187,4726.744435811699,"[1.32519604825869e-05, -4.430972862097554e-06, 2.9540183730119706e-05, 4.666401139600481e-06, 8.879264369346174e-06, 7.145528506121141e-06]","[0.0, -4.413881712871217e-06, 2.9377052998754206e-05, -8.584555240847272e-06, 8.879264369346174e-06, 7.145528506121141e-06]"
1080.0,10,"[0.0, 0.0, 0.0]",0.014440765860575553,4656.789163488108,"[0.0, -4.413881712871217e-06, 2.9377052998754206e-05, -8.584555240847272e-06, 8.879264369346174e-06, 7.145528506121141e-06]","[0.0, -4.413881712871217e-06, 2.9377052998754206e-05, -8.584555240847272e-06, 8.879264369346174e-06, 7.145528506121141e-06]"
