time,step,action,reward,entropy,state,next_state
0.0,1,"[0.0, 0.05, 0.0]",-0.04343218799073479,4692.757957322749,"[0.0, 2.956615964066108e-05, 1.4462104858134115e-05, 5.907765802220253e-07, 7.235830804896731e-06, -6.685362437533878e-08]","[1.32519604825869e-05, 2.6994773664819773e-05, 2.593863928600186e-05, 7.216756821515475e-06, 7.235830804896731e-06, -6.685362437533878e-08]"
120.0,2,"[-0.0, -0.05, -0.0]",-0.043840608554695404,4663.6623294916435,"[1.32519604825869e-05, 2.6994773664819773e-05, 2.593863928600186e-05, 7.216756821515475e-06, 7.235830804896731e-06, -6.685362437533878e-08]","[0.0, 2.6997337927569868e-05, 1.541275084810928e-05, -8.343380869478579e-07, 7.235830804896731e-06, -6.685362437533878e-08]"
240.0,3,"[0.0, 0.0, 0.05]",-0.049999878230942416,4663.6617542810545,"[0.0, 2.6997337927569868e-05, 1.541275084810928e-05, -8.343380869478579e-07, 7.235830804896731e-06, -6.685362437533878e-08]","[0.0, 2.6997337927569868e-05, 1.541275084810928e-05, -8.343380869478579e-07, 1.1935503374746567e-05, 4.6039805510383254e-06]"
360.0,4,"[0.0, 0.05, 0.0]",-0.04999999999243433,4663.661754245316,"[0.0, 2.6997337927569868e-05, 1.541275084810928e-05, -8.343380869478579e-07, 1.1935503374746567e-05, 4.6039805510383254e-06]","[1.32519604825869e-05, 2.441842985218182e-05, 2.3528480959392236e-05, 9.641795808381085e-06, 1.1935503374746567e-05, 4.6039805510383254e-06]"
480.0,5,"[0.0, 0.05, 0.0]",-0.04941342058474486,4660.890880448577,"[1.32519604825869e-05, 2.441842985218182e-05, 2.3528480959392236e-05, 9.641795808381085e-06, 1.1935503374746567e-05, 4.6039805510383254e-06]","[2.65039209651738e-05, 1.9265910268107997e-05, 3.0224974703573442e-05, 2.107732938430953e-05, 1.1935503374746567e-05, 4.6039805510383254e-06]"
600.0,6,"[0.05, 0.0, 0.0]",-0.046480281604554446,4644.2644949665755,"[2.65039209651738e-05, 1.9265910268107997e-05, 3.0224974703573442e-05, 2.107732938430953e-05, 1.1935503374746567e-05, 4.6039805510383254e-06]","[2.65039209651738e-05, 8.712630250130156e-07, 3.6326892172927554e-05, 1.8494652990488127e-05, 1.1935503374746567e-05, 4.6039805510383254e-06]"
720.0,7,"[-0.0, -0.0, -0.05]",-0.04384182391502126,4615.174608233765,"[2.65039209651738e-05, 8.712630250130156e-07, 3.6326892172927554e-05, 1.8494652990488127e-05, 1.1935503374746567e-05, 4.6039805510383254e-06]","[2.65039209651738e-05, -4.271423735495066e-06, 3.6326892172927554e-05, 1.8494652990488127e-05, 1.0161556364815602e-05, -1.780118928447265e-06]"
840.0,8,"[0.01, 0.0, 0.0]",-0.01,4615.174608233765,"[2.65039209651738e-05, -4.271423735495066e-06, 3.6326892172927554e-05, 1.8494652990488127e-05, 1.0161556364815602e-05, -1.780118928447265e-06]","[2.65039209651738e-05, -1.2064502592520528e-05, 3.7638811632246574e-05, 1.830753832355757e-05, 1.0161556364815602e-05, -1.780118928447265e-06]"
960.0,9,"[0.0, 0.0, 0.01]",-0.007653682429768273,4604.091113475677,"[2.65039209651738e-05, -1.2064502592520528e-05, 3.7638811632246574e-05, 1.830753832355757e-05, 1.0161556364815602e-05, -1.780118928447265e-06]","[2.65039209651738e-05, -1.7207189353028608e-05, 3.7638811632246574e-05, 1.830753832355757e-05, 1.0177869437952153e-05, -4.550232904024896e-07]"
1080.0,10,"[0.01, 0.0, 0.0]",0.0011427093651722228,4551.4553737929255,"[2.65039209651738e-05, -1.7207189353028608e-05, 3.7638811632246574e-05, 1.830753832355757e-05, 1.0177869437952153e-05, -4.550232904024896e-07]","[2.65039209651738e-05, -2.500026821005407e-05, 3.8954939878216555e-05, 1.8462299450719497e-05, 1.0177869437952153e-05, -4.550232904024896e-07]"
