time,state,action,reward,next_state
0.0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.05, 0.0, 0.0]",811.698511949804,"[ 1.19201125e-05  1.38377720e-05  1.45397013e-05  1.14559676e-05
  6.18589574e-06 -3.57142857e-06]"
30.0,"[1.192011254832249e-05, 1.3837771971965759e-05, 1.453970131896122e-05, 1.1455967569628335e-05, 6.185895741317418e-06, -3.571428571428571e-06]","[0.05, 0.0, 0.0]",1724.128567525553,"[ 1.82385469e-05 -4.61174651e-06  6.32891759e-06  1.78668355e-05
  3.57142857e-06 -6.18589574e-06]"
60.0,"[1.823854690156735e-05, -4.6117465142060545e-06, 6.328917586549182e-06, 1.7866835464726113e-05, 3.5714285714285718e-06, -6.185895741317418e-06]","[-0.0, -0.0, -0.05]",2231.5090548409103,"[ 1.55389562e-05 -1.18965265e-05 -9.29820238e-06  1.65173376e-05
 -6.61212497e-06 -7.57112981e-06]"
90.0,"[1.553895619876816e-05, -1.1896526476846903e-05, -9.298202377994547e-06, 1.651733755418175e-05, -6.6121249747875136e-06, -7.571129808109562e-06]","[-0.01, -0.0, -0.0]",361.84614798571306,"[ 2.69233021e-06 -1.27150431e-05 -1.95778755e-05  5.26184961e-06
 -9.51183311e-06 -3.25072826e-06]"
120.0,"[2.6923302099356625e-06, -1.2715043114490835e-05, -1.9577875540210213e-05, 5.2618496056395976e-06, -9.51183310521831e-06, -3.250728261778727e-06]","[-0.01, -0.0, -0.0]",33.55410259264022,"[-1.17846623e-05 -4.54946756e-06 -1.94545563e-05 -8.76689510e-06
 -9.86285324e-06  1.94070330e-06]"
150.0,"[-1.1784662255656192e-05, -4.549467555953074e-06, -1.9454556330350586e-05, -8.766895100154724e-06, -9.86285323656624e-06, 1.9407032971087466e-06]","[0.0, 0.05, 0.0]",106.95617933157939,"[-7.17643377e-06 -4.92387876e-08 -7.03606115e-06 -5.93100572e-06
 -7.57112981e-06  6.61212497e-06]"
180.0,"[-7.176433774595304e-06, -4.923878761772639e-08, -7.0360611508768826e-06, -5.931005722760231e-06, -7.571129808109564e-06, 6.6121249747875136e-06]","[0.01, 0.0, 0.0]",52.691190729478876,"[-9.23386964e-06  5.90222586e-06 -1.22644096e-06 -9.19315535e-06
 -3.25072826e-06  9.51183311e-06]"
210.0,"[-9.233869639388941e-06, 5.902225863182902e-06, -1.226440959591017e-06, -9.19315535256032e-06, -3.250728261778728e-06, 9.511833105218307e-06]","[0.0, 0.05, 0.0]",45.87405720183432,"[5.89463557e-06 1.46424060e-06 7.39007192e-06 4.14176892e-06
 1.94070330e-06 9.86285324e-06]"
240.0,"[5.894635569587373e-06, 1.4642406034487194e-06, 7.390071922416314e-06, 4.141768923283832e-06, 1.9407032971087445e-06, 9.862853236566238e-06]","[0.01, 0.0, 0.0]",0.7005781857018292,"[ 8.04069844e-06 -9.04246385e-06  6.00412423e-06  6.59508807e-06
  6.61212497e-06  7.57112981e-06]"
270.0,"[8.040698440046876e-06, -9.042463850934424e-06, 6.004124234427752e-06, 6.595088070228703e-06, 6.612124974787512e-06, 7.571129808109561e-06]","[-0.0, -0.0, -0.01]",18.717261014756076,"[ 8.91781537e-06 -2.01278941e-05  2.95861013e-06  8.41375781e-06
  8.24237528e-06  2.87043705e-06]"
