step,entropy
0,5545.177444479563
1,5277.843292932954
2,5109.500569774163
3,4968.879158159807
4,4823.40514515429
5,4741.650365910573
6,4681.34256449403
7,4605.123245126055
8,4548.314903531248
9,4501.206620953461
10,4460.332089604426
11,4405.589471456307
12,4351.54228658494
13,4306.511730359143
14,4247.611943703484
15,4179.715534614416
16,4136.750701120529
17,4088.9567023035543
18,4066.766276719303
19,4049.427308823956
20,4021.7122839608255
