time,step,action,reward,entropy,state,next_state
0.0,1,"[0.0, 0.0, 0.0]",0.0003558070376537515,4914.569609521678,"[0.0, 2.838809644152972e-05, 1.3035239864778156e-05, -9.66898763222828e-07, 6.910549520531217e-06, 8.989843575643692e-07]","[0.0, 2.838809644152972e-05, 1.3035239864778156e-05, -9.66898763222828e-07, 6.910549520531217e-06, 8.989843575643692e-07]"
120.0,2,"[-0.0, -0.01, -0.0]",-0.00970860089887983,4913.136998622031,"[0.0, 2.838809644152972e-05, 1.3035239864778156e-05, -9.66898763222828e-07, 6.910549520531217e-06, 8.989843575643692e-07]","[-2.65039209651738e-06, 2.8902896712188944e-05, 1.093006217719964e-05, -2.5771177449154947e-06, 6.910549520531217e-06, 8.989843575643692e-07]"
240.0,3,"[-0.0, -0.0, -0.05]",-0.0501397092939758,4913.823854060371,"[-2.65039209651738e-06, 2.8902896712188944e-05, 1.093006217719964e-05, -2.5771177449154947e-06, 6.910549520531217e-06, 8.989843575643692e-07]","[-2.65039209651738e-06, 2.941718413029815e-05, 1.093006217719964e-05, -2.5771177449154947e-06, 2.2108769506813803e-06, -3.7718498178492956e-06]"
360.0,4,"[-0.0, -0.05, -0.0]",-0.04985854572668776,4913.1284197471905,"[-2.65039209651738e-06, 2.941718413029815e-05, 1.093006217719964e-05, -2.5771177449154947e-06, 2.2108769506813803e-06, -3.7718498178492956e-06]","[-1.590235257910428e-05, 3.251048185320484e-05, 2.8143320659166837e-06, -1.3053251640244438e-05, 2.2108769506813803e-06, -3.7718498178492956e-06]"
480.0,5,"[0.0, 0.0, 0.01]",-0.005914572986145512,4893.043157825437,"[-1.590235257910428e-05, 3.251048185320484e-05, 2.8143320659166837e-06, -1.3053251640244438e-05, 2.2108769506813803e-06, -3.7718498178492956e-06]","[-1.590235257910428e-05, 3.5596257476564784e-05, 2.8143320659166837e-06, -1.3053251640244438e-05, 2.880526325099501e-06, -2.6282964602564513e-06]"
600.0,6,"[-0.0, -0.0, -0.05]",-0.05,4893.043157825437,"[-1.590235257910428e-05, 3.5596257476564784e-05, 2.8143320659166837e-06, -1.3053251640244438e-05, 2.880526325099501e-06, -2.6282964602564513e-06]","[-1.590235257910428e-05, 3.868203309992473e-05, 2.8143320659166837e-06, -1.3053251640244438e-05, 2.9784993127809775e-07, -8.730213929610562e-06]"
720.0,7,"[0.01, 0.0, 0.0]",-0.01,4893.043157825437,"[-1.590235257910428e-05, 3.868203309992473e-05, 2.8143320659166837e-06, -1.3053251640244438e-05, 2.9784993127809775e-07, -8.730213929610562e-06]","[-1.590235257910428e-05, 3.91174166267673e-05, 4.091151961813802e-06, -1.340804104223063e-05, 2.9784993127809775e-07, -8.730213929610562e-06]"
840.0,8,"[0.0, 0.01, 0.0]",-0.01,4893.043157825437,"[-1.590235257910428e-05, 3.91174166267673e-05, 4.091151961813802e-06, -1.340804104223063e-05, 2.9784993127809775e-07, -8.730213929610562e-06]","[-1.32519604825869e-05, 4.168575999904506e-05, 4.465381295674916e-06, -1.0784202123592586e-05, 2.9784993127809775e-07, -8.730213929610562e-06]"
960.0,9,"[0.0, 0.05, 0.0]",-0.05,4893.043157825437,"[-1.32519604825869e-05, 4.168575999904506e-05, 4.465381295674916e-06, -1.0784202123592586e-05, 2.9784993127809775e-07, -8.730213929610562e-06]","[0.0, 4.166866884981872e-05, 4.628512027040416e-06, 2.466754256855166e-06, 2.9784993127809775e-07, -8.730213929610562e-06]"
1080.0,10,"[0.0, 0.0, 0.01]",-0.01,4893.043157825437,"[0.0, 4.166866884981872e-05, 4.628512027040416e-06, 2.466754256855166e-06, 2.9784993127809775e-07, -8.730213929610562e-06]","[0.0, 4.166866884981872e-05, 4.628512027040416e-06, 2.466754256855166e-06, 1.4308880411617268e-07, -7.414085683640581e-06]"
1200.0,11,"[-0.0, -0.0, -0.01]",-0.01,4893.043157825437,"[0.0, 4.166866884981872e-05, 4.628512027040416e-06, 2.466754256855166e-06, 1.4308880411617268e-07, -7.414085683640581e-06]","[0.0, 4.166866884981872e-05, 4.628512027040416e-06, 2.466754256855166e-06, 4.663379303409107e-07, -8.699252820131159e-06]"
1320.0,12,"[0.0, 0.05, 0.0]",-0.00576489965166372,4675.569299249975,"[0.0, 4.166866884981872e-05, 4.628512027040416e-06, 2.466754256855166e-06, 4.663379303409107e-07, -8.699252820131159e-06]","[1.32519604825869e-05, 3.907762173045041e-05, -2.3484131416695994e-07, 1.4794051239998384e-05, 4.663379303409107e-07, -8.699252820131159e-06]"
1440.0,13,"[0.0, 0.0, 0.05]",-0.0501115736813886,4676.117831045223,"[1.32519604825869e-05, 3.907762173045041e-05, -2.3484131416695994e-07, 1.4794051239998384e-05, 4.663379303409107e-07, -8.699252820131159e-06]","[1.32519604825869e-05, 3.650623575460911e-05, -2.3484131416695994e-07, 1.4794051239998384e-05, -2.740134218826583e-06, -2.9007917730407846e-06]"
1560.0,14,"[-0.0, -0.0, -0.01]",-0.009858660596999594,4675.422961471125,"[1.32519604825869e-05, 3.650623575460911e-05, -2.3484131416695994e-07, 1.4794051239998384e-05, -2.740134218826583e-06, -2.9007917730407846e-06]","[1.32519604825869e-05, 3.393484977876781e-05, -2.3484131416695994e-07, 1.4794051239998384e-05, -1.954597314936379e-06, -3.968066966675041e-06]"
1680.0,15,"[-0.01, -0.0, -0.0]",-0.009999883697606633,4675.422389691474,"[1.32519604825869e-05, 3.393484977876781e-05, -2.3484131416695994e-07, 1.4794051239998384e-05, -1.954597314936379e-06, -3.968066966675041e-06]","[1.32519604825869e-05, 3.401385589944389e-05, -1.1918643387383643e-06, 1.3877398908544058e-05, -1.954597314936379e-06, -3.968066966675041e-06]"
