step,entropy
0,5545.177444479563
1,5110.2400165747185
2,4716.075374727043
3,4378.703638139067
4,4100.895684217163
5,3916.6271532617266
6,3633.27459213331
7,3376.2399024187835
8,3162.1351778607705
9,2965.291110187365
10,2786.5151666057027
11,2605.6071929372124
12,2417.085462262029
13,2323.5186000908893
14,2260.3764749556476
15,2161.2238507022735
16,2066.226107337491
17,1998.2633877127396
18,1953.889393682853
19,1904.6919510899593
20,1885.9706899764162
