time,action,reward,entropy
0.0,"[-0.0, -0.0, -0.01]",539.5162317482057,5545.177444479563
30.0,"[0.0, 0.0, 0.0]",218.89844987129527,5005.661112731357
60.0,"[0.0, 0.05, 0.0]",126.75053776814558,4786.762662860062
90.0,"[-0.0, -0.0, -0.05]",2500.713292917255,4660.011625091916
120.0,"[-0.0, -0.0, -0.01]",531.0001937410204,2159.2978321746614
