step,entropy
0,5545.177444479563
1,5277.843292932954
2,5110.193145296304
3,4971.649460284112
4,4818.552543655911
5,4737.491483100508
6,4677.185396486834
7,4600.965505589381
8,4544.157163994574
9,4491.495129917317
10,4409.054062761977
11,4372.996121550731
12,4315.486058639787
13,4290.523615127671
14,4245.483341506924
15,4181.7549609504385
16,4181.7549609504385
17,4181.7549609504385
18,4066.736550360289
19,3957.2684614136997
20,3901.1292590585267
