time,step,action,reward,entropy,state,next_state
0.0,1,"[0.0, 0.0, 0.01]",-0.009617950316238053,4787.747693234955,"[0.0, 2.778167337669505e-05, 1.2937314874688347e-05, 3.64256108032532e-07, 6.1012121125937e-06, 1.4174775139125652e-06]","[0.0, 2.778167337669505e-05, 1.2937314874688347e-05, 3.64256108032532e-07, 7.248865555380474e-06, 2.08007553804191e-06]"
120.0,2,"[0.0, 0.05, 0.0]",-0.049991403246398836,4787.706518416905,"[0.0, 2.778167337669505e-05, 1.2937314874688347e-05, 3.64256108032532e-07, 7.248865555380474e-06, 2.08007553804191e-06]","[1.32519604825869e-05, 2.5207723138103645e-05, 2.3463203312580925e-05, 8.415351016495865e-06, 7.248865555380474e-06, 2.08007553804191e-06]"
240.0,3,"[0.01, 0.0, 0.0]",-0.00999868661879968,4787.700227875794,"[1.32519604825869e-05, 2.5207723138103645e-05, 2.3463203312580925e-05, 8.415351016495865e-06, 7.248865555380474e-06, 2.08007553804191e-06]","[1.32519604825869e-05, 1.9985945065744957e-05, 2.439737014766366e-05, 7.475416502525898e-06, 7.248865555380474e-06, 2.08007553804191e-06]"
360.0,4,"[-0.0, -0.0, -0.05]",-0.04999999998507633,4787.700227804316,"[1.32519604825869e-05, 1.9985945065744957e-05, 2.439737014766366e-05, 7.475416502525898e-06, 7.248865555380474e-06, 2.08007553804191e-06]","[1.32519604825869e-05, 1.741455908990365e-05, 2.439737014766366e-05, 7.475416502525898e-06, 3.1910004997389963e-06, -3.1579914096225613e-06]"
480.0,5,"[-0.0, -0.0, -0.05]",-0.04999999998507633,4787.700227732837,"[1.32519604825869e-05, 1.741455908990365e-05, 2.439737014766366e-05, 7.475416502525898e-06, 3.1910004997389963e-06, -3.1579914096225613e-06]","[1.32519604825869e-05, 1.4843173114062343e-05, 2.439737014766366e-05, 7.475416502525898e-06, -1.572463723516068e-07, -8.875758197586783e-06]"
600.0,6,"[0.05, 0.0, 0.0]",-0.05,4787.700227732837,"[1.32519604825869e-05, 1.4843173114062343e-05, 2.439737014766366e-05, 7.475416502525898e-06, -1.572463723516068e-07, -8.875758197586783e-06]","[1.32519604825869e-05, -9.801733443658632e-07, 3.049928761701777e-05, 4.892740108704494e-06, -1.572463723516068e-07, -8.875758197586783e-06]"
720.0,7,"[0.0, 0.0, 0.0]",0.0,4787.700227732837,"[1.32519604825869e-05, -9.801733443658632e-07, 3.049928761701777e-05, 4.892740108704494e-06, -1.572463723516068e-07, -8.875758197586783e-06]","[1.32519604825869e-05, -3.5515593202071697e-06, 3.049928761701777e-05, 4.892740108704494e-06, -1.572463723516068e-07, -8.875758197586783e-06]"
840.0,8,"[0.0, 0.0, 0.05]",-0.05,4787.700227732837,"[1.32519604825869e-05, -3.5515593202071697e-06, 3.049928761701777e-05, 4.892740108704494e-06, -1.572463723516068e-07, -8.875758197586783e-06]","[1.32519604825869e-05, -6.122945296048476e-06, 3.049928761701777e-05, 4.892740108704494e-06, 7.783269623011794e-07, -2.316160900991673e-06]"
960.0,9,"[0.0, 0.05, 0.0]",-0.05,4787.700227732837,"[1.32519604825869e-05, -6.122945296048476e-06, 3.049928761701777e-05, 4.892740108704494e-06, 7.783269623011794e-07, -2.316160900991673e-06]","[2.65039209651738e-05, -1.1282723205782895e-05, 3.066241834838327e-05, 1.8143696489152246e-05, 7.783269623011794e-07, -2.316160900991673e-06]"
1080.0,10,"[0.0, 0.01, 0.0]",0.0037370517376564775,4721.905553129398,"[2.65039209651738e-05, -1.1282723205782895e-05, 3.066241834838327e-05, 1.8143696489152246e-05, 7.783269623011794e-07, -2.316160900991673e-06]","[2.915431306169118e-05, -1.6943311443461075e-05, 3.0352896094059422e-05, 2.077595298109221e-05, 7.783269623011794e-07, -2.316160900991673e-06]"
1200.0,11,"[0.0, 0.0, 0.05]",-0.05,4721.905553129398,"[2.915431306169118e-05, -1.6943311443461075e-05, 3.0352896094059422e-05, 2.077595298109221e-05, 7.783269623011794e-07, -2.316160900991673e-06]","[2.915431306169118e-05, -2.2600248137961568e-05, 3.0352896094059422e-05, 2.077595298109221e-05, -8.379186688225106e-07, 4.109674781461217e-06]"
1320.0,12,"[-0.0, -0.05, -0.0]",-0.05,4721.905553129398,"[2.915431306169118e-05, -2.2600248137961568e-05, 3.0352896094059422e-05, 2.077595298109221e-05, -8.379186688225106e-07, 4.109674781461217e-06]","[1.590235257910428e-05, -2.566623994250319e-05, 3.52162494352668e-05, 8.44865599794899e-06, -8.379186688225106e-07, 4.109674781461217e-06]"
1440.0,13,"[-0.0, -0.05, -0.0]",0.1453620192666576,3786.2040115616837,"[1.590235257910428e-05, -2.566623994250319e-05, 3.52162494352668e-05, 8.44865599794899e-06, -8.379186688225106e-07, 4.109674781461217e-06]","[2.6503920965173806e-06, -2.616064940103276e-05, 4.162919373360178e-05, -3.148266096231759e-06, -8.379186688225106e-07, 4.109674781461217e-06]"
1560.0,14,"[0.0, 0.01, 0.0]",0.11858485179561044,3170.3368921540823,"[2.6503920965173806e-06, -2.616064940103276e-05, 4.162919373360178e-05, -3.148266096231759e-06, -8.379186688225106e-07, 4.109674781461217e-06]","[5.300784193034761e-06, -2.7193165181957612e-05, 4.005811992582138e-05, -1.0137157089632454e-06, -8.379186688225106e-07, 4.109674781461217e-06]"
1680.0,15,"[-0.0, -0.01, -0.0]",0.12902556904141324,2504.4631478219317,"[5.300784193034761e-06, -2.7193165181957612e-05, 4.005811992582138e-05, -1.0137157089632454e-06, -8.379186688225106e-07, 4.109674781461217e-06]","[2.650392096517381e-06, -2.77035877951688e-05, 4.189142458873003e-05, -2.927761758106054e-06, -8.379186688225106e-07, 4.109674781461217e-06]"
