time,step,state,action,reward,next_state,entropy_before,entropy_after,info_gain,dv_cost,predicted_value,root_N,parallel_time
1200.0,10,"[-1.4118188900862491e-05, -5.155152583076365e-05, -2.4004119443711814e-05, 3.2777731386028734e-05, 5.32450708457021e-06, 9.179609909375855e-06]","[0.0, 0.05, 0.0]",1.34404296875,"[5.244118117220291e-05, -0.00011557834593371108, 5.0603943814886844e-05, 1.62208578236398e-05, 9.200963352555949e-06, 5.287521836065757e-06]",213.73150634765625,212.33746337890625,1.39404296875,0.05,20.030581630037194,1000,124.05321264266968
1320.0,11,"[5.244118117220291e-05, -0.00011557834593371108, 5.0603943814886844e-05, 1.62208578236398e-05, 9.200963352555949e-06, 5.287521836065757e-06]","[-0.0, -0.0, -0.05]",4.828662109375,"[-1.0293439122358543e-05, 8.347029746502135e-05, -9.329071632831906e-06, -5.231485239035328e-05, 9.63609844538292e-06, -6.575067952180585e-06]",212.33746337890625,207.45880126953125,4.878662109375,0.05,12.997723599511616,1000,116.55767488479614
1440.0,12,"[-1.0293439122358543e-05, 8.347029746502135e-05, -9.329071632831906e-06, -5.231485239035328e-05, 9.63609844538292e-06, -6.575067952180585e-06]","[0.0, 0.05, 0.0]",9.682803344726562,"[-2.346166254157538e-05, -7.29003797725229e-05, -1.9243339220009628e-05, 3.918487984981857e-05, 5.0575720709790525e-06, -1.0512225100888772e-05]",207.45880126953125,197.7259979248047,9.732803344726562,0.05,79.67383109059313,1000,118.66320157051086
1560.0,13,"[-2.346166254157538e-05, -7.29003797725229e-05, -1.9243339220009628e-05, 3.918487984981857e-05, 5.0575720709790525e-06, -1.0512225100888772e-05]","[0.05, 0.0, 0.0]",-1.431256103515625,"[4.075439789374643e-05, 3.070969657261132e-05, 3.4877559507070644e-05, -2.8907657743462143e-05, -8.761266555058528e-07, -1.1632640023159636e-05]",197.7259979248047,199.1072540283203,-1.381256103515625,0.05,38.78061036800199,1000,114.0580906867981
1680.0,14,"[4.075439789374643e-05, 3.070969657261132e-05, 3.4877559507070644e-05, -2.8907657743462143e-05, -8.761266555058528e-07, -1.1632640023159636e-05]","[-0.0, -0.01, -0.0]",2.76252197265625,"[-4.792356278844129e-05, -4.472714454575559e-05, -4.432634073236854e-05, 1.8243916522055157e-05, -6.57506795218058e-06, -9.636098445382921e-06]",199.1072540283203,196.33473205566406,2.77252197265625,0.01,11.905303135498,1000,121.46622395515442
1800.0,15,"[-4.792356278844129e-05, -4.472714454575559e-05, -4.432634073236854e-05, 1.8243916522055157e-05, -6.57506795218058e-06, -9.636098445382921e-06]","[-0.0, -0.0, -0.05]",-0.0494354248046875,"[4.7338640661327876e-05, 2.0909707789710582e-05, 4.517059832455457e-05, -1.604001308563997e-05, -8.118532258109843e-06, -1.1236070977059737e-05]",196.33473205566406,196.33416748046875,0.0005645751953125,0.05,8.579735918298164,1000,122.12138175964355
1920.0,16,"[4.7338640661327876e-05, 2.0909707789710582e-05, 4.517059832455457e-05, -1.604001308563997e-05, -8.118532258109843e-06, -1.1236070977059737e-05]","[-0.0, -0.0, -0.05]",1.3390533447265625,"[-4.778953287277619e-05, -6.944345687702477e-05, -4.084756911242136e-05, 2.5082684672732146e-05, -9.478169262003373e-06, -1.1489544085172986e-05]",196.33416748046875,194.9451141357422,1.3890533447265625,0.05,8.713666098197866,1000,122.63564252853394
2040.0,17,"[-4.778953287277619e-05, -6.944345687702477e-05, -4.084756911242136e-05, 2.5082684672732146e-05, -9.478169262003373e-06, -1.1489544085172986e-05]","[0.05, 0.0, 0.0]",-0.0489013671875,"[4.545341318854527e-05, 5.734149727673129e-05, 1.9995612318569388e-05, -4.500271147080757e-05, -1.3953107404850222e-05, -5.21115242465936e-06]",194.9451141357422,194.9440155029297,0.0010986328125,0.05,13.800781391963127,1000,119.32102942466736
2160.0,18,"[4.545341318854527e-05, 5.734149727673129e-05, 1.9995612318569388e-05, -4.500271147080757e-05, -1.3953107404850222e-05, -5.21115242465936e-06]","[0.0, 0.01, 0.0]",3.4545538330078127,"[-2.4287348631462274e-05, -6.484602898011802e-05, 1.6361702739931708e-05, 4.466214374939155e-05, -1.4689321686662737e-05, 2.4635633196772313e-06]",194.9440155029297,191.47946166992188,3.4645538330078125,0.01,8.690165791520661,1000,125.0251886844635
2280.0,19,"[-2.4287348631462274e-05, -6.484602898011802e-05, 1.6361702739931708e-05, 4.466214374939155e-05, -1.4689321686662737e-05, 2.4635633196772313e-06]","[-0.0, -0.0, -0.05]",4.804705810546875,"[-1.4979667332153028e-05, -3.691123230979506e-05, -4.626863754555167e-05, -1.1028398819392154e-05, -6.35296114784458e-06, 5.292583295145467e-06]",191.47946166992188,186.624755859375,4.854705810546875,0.05,34.457709528588296,1000,124.72383236885071
2400.0,20,"[-1.4979667332153028e-05, -3.691123230979506e-05, -4.626863754555167e-05, -1.1028398819392154e-05, -6.35296114784458e-06, 5.292583295145467e-06]","[-0.0, -0.0, -0.05]",0.643145751953125,"[4.712945347614298e-05, 3.244540437710991e-05, 2.528261760855527e-05, -4.0288976751721725e-05, 2.7780726791368062e-06, 4.272000062793173e-06]",186.624755859375,185.93161010742188,0.693145751953125,0.05,6.184165136088393,1000,125.32037591934204
2520.0,21,"[4.712945347614298e-05, 3.244540437710991e-05, 2.528261760855527e-05, -4.0288976751721725e-05, 2.7780726791368062e-06, 4.272000062793173e-06]","[-0.05, -0.0, -0.0]",0.6431304931640625,"[-1.466947058362646e-05, 2.6995890707548443e-06, 4.502075821339064e-05, 2.9047199399115212e-05, 4.541881545088556e-06, 2.310624239779203e-06]",185.93161010742188,185.2384796142578,0.6931304931640625,0.05,3.274279177245048,1000,129.21182107925415
2640.0,22,"[-1.466947058362646e-05, 2.6995890707548443e-06, 4.502075821339064e-05, 2.9047199399115212e-05, 4.541881545088556e-06, 2.310624239779203e-06]","[-0.0, -0.0, -0.05]",1.3368255615234375,"[-5.2336676537744075e-05, -2.7371561198473034e-05, -1.997142559848723e-05, 4.971670365787165e-05, 1.1427190552087092e-05, -2.2004546148808417e-06]",185.2384796142578,183.85165405273438,1.3868255615234375,0.05,27.768223295866054,1000,120.97841739654541
2760.0,23,"[-5.2336676537744075e-05, -2.7371561198473034e-05, -1.997142559848723e-05, 4.971670365787165e-05, 1.1427190552087092e-05, -2.2004546148808417e-06]","[0.05, 0.0, 0.0]",-0.04945068359375,"[-6.453766315255542e-06, -3.109348626057508e-05, -6.005279473766527e-05, 4.239367618333454e-06, 8.796010004552525e-06, -7.619244872405057e-06]",183.85165405273438,183.85110473632812,0.00054931640625,0.05,8.648837751933883,1000,122.20304751396179
2880.0,24,"[-6.453766315255542e-06, -3.109348626057508e-05, -6.005279473766527e-05, 4.239367618333454e-06, 8.796010004552525e-06, -7.619244872405057e-06]","[0.05, 0.0, 0.0]",2.0288421630859377,"[4.570959568258356e-05, -5.837263880422074e-05, -4.875712585534647e-05, -4.138604138851789e-05, 3.807945679682036e-06, -1.0996464619433365e-05]",183.85110473632812,181.7722625732422,2.0788421630859375,0.05,13.371115291937897,1000,120.91057085990906
3000.0,25,"[4.570959568258356e-05, -5.837263880422074e-05, -4.875712585534647e-05, -4.138604138851789e-05, 3.807945679682036e-06, -1.0996464619433365e-05]","[-0.05, -0.0, -0.0]",2.72252197265625,"[6.475306540831786e-05, -0.00011032810124237578, -1.0427899456303867e-05, -6.402751848362884e-05, -2.2004546148808366e-06, -1.1427190552087094e-05]",181.7722625732422,178.99974060058594,2.77252197265625,0.05,28.589074731085145,1000,116.54018425941467
3120.0,26,"[6.475306540831786e-05, -0.00011032810124237578, -1.0427899456303867e-05, -6.402751848362884e-05, -2.2004546148808366e-06, -1.1427190552087094e-05]","[0.0, 0.01, 0.0]",-0.01,"[5.8448168310618216e-05, -0.0002143987295024514, 1.0608561190727942e-05, -6.613292346676062e-05, -7.619244872405053e-06, -8.796010004552532e-06]",178.99974060058594,178.99974060058594,0.0,0.01,1.0588071515807984,1000,124.27965974807739
3240.0,27,"[5.8448168310618216e-05, -0.0002143987295024514, 1.0608561190727942e-05, -6.613292346676062e-05, -7.619244872405053e-06, -8.796010004552532e-06]","[-0.0, -0.0, -0.05]",-0.05,"[5.0100306384399525e-05, -0.00034587299702914886, 1.626093456264703e-05, -6.497451149448643e-05, -4.7748211253376535e-06, -1.5287426631897216e-06]",178.99974060058594,178.99974060058594,0.0,0.05,0.1435238372144891,1000,138.51060509681702
3360.0,28,"[5.0100306384399525e-05, -0.00034587299702914886, 1.626093456264703e-05, -6.497451149448643e-05, -4.7748211253376535e-06, -1.5287426631897216e-06]","[-0.0, -0.0, -0.01]",-0.01,"[5.197287838069358e-05, -0.0005086400755169676, 4.8636524088308706e-06, -6.680157200278986e-05, -3.7243595965840278e-06, 1.6760313530184029e-06]",178.99974060058594,178.99974060058594,0.0,0.01,-0.36796184522192854,1000,132.0572783946991
3480.0,29,"[5.197287838069358e-05, -0.0005086400755169676, 4.8636524088308706e-06, -6.680157200278986e-05, -3.7243595965840278e-06, 1.6760313530184029e-06]","[0.0, 0.0, 0.01]",-0.01,"[6.218450224970012e-05, -0.0006877424651306331, -2.350652489937632e-05, -6.271800717459733e-05, -3.473664428970069e-06, 2.554640874421804e-06]",178.99974060058594,178.99974060058594,0.0,0.01,-0.36302889298323954,1000,123.23323655128479
3600.0,30,"[6.218450224970012e-05, -0.0006877424651306331, -2.350652489937632e-05, -6.271800717459733e-05, -3.473664428970069e-06, 2.554640874421804e-06]","[0.0, 0.0, 0.0]",0.0,"[6.589637920463242e-05, -0.0008018274093777166, -5.8051449462832564e-05, -3.340859697835341e-05, -1.7309612024995422e-06, 3.9492161092804095e-06]",178.99974060058594,178.99974060058594,0.0,0.0,-0.3731055342749245,1000,120.8000853061676
3720.0,31,"[6.589637920463242e-05, -0.0008018274093777166, -5.8051449462832564e-05, -3.340859697835341e-05, -1.7309612024995422e-06, 3.9492161092804095e-06]","[0.0, 0.0, 0.0]",0.0,"[3.622545743709868e-05, -0.0007214721621015997, -6.0978256014011034e-05, 2.770843608519934e-05, 4.755516803103427e-07, 4.285602076921347e-06]",178.99974060058594,178.99974060058594,0.0,0.0,-0.3640932181455704,1000,120.92466878890991
3840.0,32,"[3.622545743709868e-05, -0.0007214721621015997, -6.0978256014011034e-05, 2.770843608519934e-05, 4.755516803103427e-07, 4.285602076921347e-06]","[0.0, 0.01, 0.0]",-0.01,"[-2.9871652839598488e-05, -0.0004904562815022848, 1.705961926347235e-06, 6.602598618330337e-05, 2.554640874421807e-06, 3.473664428970067e-06]",178.99974060058594,178.99974060058594,0.0,0.01,-0.3705409244067444,1000,121.42380356788635
3960.0,33,"[-2.9871652839598488e-05, -0.0004904562815022848, 1.705961926347235e-06, 6.602598618330337e-05, 2.554640874421807e-06, 3.473664428970067e-06]","[0.01, 0.0, 0.0]",-0.01,"[-6.439878477196004e-05, -0.00046257404023907617, 6.559959198819384e-05, 6.5021762047125155e-06, 3.94921610928041e-06, 1.7309612024995401e-06]",178.99974060058594,178.99974060058594,0.0,0.01,-0.3659743438447103,1000,130.39073300361633
4080.0,34,"[-6.439878477196004e-05, -0.00046257404023907617, 6.559959198819384e-05, 6.5021762047125155e-06, 3.94921610928041e-06, 1.7309612024995401e-06]","[-0.0, -0.01, -0.0]",-0.01,"[1.3044261340372092e-05, -0.0007077899021407679, -9.964803256300132e-07, -6.567357521971013e-05, 4.285602076921348e-06, -4.7555168031034456e-07]",178.99974060058594,178.99974060058594,0.0,0.01,-0.33266772037335235,1000,128.21702575683594
4200.0,35,"[1.3044261340372092e-05, -0.0007077899021407679, -9.964803256300132e-07, -6.567357521971013e-05, 4.285602076921348e-06, -4.7555168031034456e-07]","[0.0, 0.0, 0.0]",0.0,"[5.8156144679431945e-05, -0.0006014489965477771, -5.975712532093868e-05, 2.7259813435823884e-05, 3.4736644289700666e-06, -2.5546408744218096e-06]",178.99974060058594,178.99974060058594,0.0,0.0,-0.3646841520579122,1000,125.47063755989075
4320.0,36,"[5.8156144679431945e-05, -0.0006014489965477771, -5.975712532093868e-05, 2.7259813435823884e-05, 3.4736644289700666e-06, -2.5546408744218096e-06]","[0.0, 0.0, 0.0]",0.0,"[-5.6157077674771276e-05, -0.0004937727886807301, 5.8520817945348567e-05, 2.9821558010702045e-05, 1.7309612024995374e-06, -3.949216109280413e-06]",178.99974060058594,178.99974060058594,0.0,0.0,-0.37119676193938556,1000,132.2281048297882
4440.0,37,"[-5.6157077674771276e-05, -0.0004937727886807301, 5.8520817945348567e-05, 2.9821558010702045e-05, 1.7309612024995374e-06, -3.949216109280413e-06]","[-0.01, -0.0, -0.0]",-0.01,"[1.6779087337100927e-05, -0.0007158158608401754, -2.953063734722369e-05, -6.013654283351016e-05, -4.7555168031034837e-07, -4.285602076921348e-06]",178.99974060058594,178.99974060058594,0.0,0.01,-0.33613506106096624,1000,132.91964673995972
4560.0,38,"[1.6779087337100927e-05, -0.0007158158608401754, -2.953063734722369e-05, -6.013654283351016e-05, -4.7555168031034837e-07, -4.285602076921348e-06]","[0.0, 0.0, 0.01]",-0.01,"[1.7096499599754714e-05, -0.000466487019103579, 4.996314796754517e-06, 6.680942421957832e-05, -2.287047127889149e-06, -4.771562018588391e-06]",178.99974060058594,178.99974060058594,0.0,0.01,-0.3563947583540571,1000,121.0553207397461
