time,state,action,reward,next_state
0.0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.05, 0.0, 0.0]",813.7762385162277,"[ 1.19201125e-05  1.38377720e-05  1.45397013e-05  1.14559676e-05
  6.18589574e-06 -3.57142857e-06]"
30.0,"[1.192011254832249e-05, 1.3837771971965759e-05, 1.453970131896122e-05, 1.1455967569628335e-05, 6.185895741317418e-06, -3.571428571428571e-06]","[0.05, 0.0, 0.0]",1735.2109190817296,"[ 1.82385469e-05 -4.61174651e-06  6.32891759e-06  1.78668355e-05
  3.57142857e-06 -6.18589574e-06]"
60.0,"[1.823854690156735e-05, -4.6117465142060545e-06, 6.328917586549182e-06, 1.7866835464726113e-05, 3.5714285714285718e-06, -6.185895741317418e-06]","[-0.0, -0.0, -0.05]",2233.589639447855,"[ 1.55389562e-05 -1.18965265e-05 -9.29820238e-06  1.65173376e-05
 -6.61212497e-06 -7.57112981e-06]"
90.0,"[1.553895619876816e-05, -1.1896526476846903e-05, -9.298202377994547e-06, 1.651733755418175e-05, -6.6121249747875136e-06, -7.571129808109562e-06]","[-0.01, -0.0, -0.0]",351.47695065827224,"[ 2.69233021e-06 -1.27150431e-05 -1.95778755e-05  5.26184961e-06
 -9.51183311e-06 -3.25072826e-06]"
120.0,"[2.6923302099356625e-06, -1.2715043114490835e-05, -1.9577875540210213e-05, 5.2618496056395976e-06, -9.51183310521831e-06, -3.250728261778727e-06]","[-0.0, -0.0, -0.01]",27.30034375790592,"[-1.18275119e-05 -7.03529956e-06 -1.81542303e-05 -9.02242733e-06
 -1.11769767e-05  1.76975245e-06]"
150.0,"[-1.1827511928258479e-05, -7.035299563273997e-06, -1.815423027728339e-05, -9.02242733302396e-06, -1.1176976660450995e-05, 1.7697524471024958e-06]","[0.0, 0.01, 0.0]",94.46123931339616,"[-1.69608856e-05  5.49383972e-06 -8.23116900e-06 -1.56677393e-05
 -8.79466950e-06  7.12113891e-06]"
180.0,"[-1.696088559357252e-05, 5.4938397218775255e-06, -8.231169002304248e-06, -1.5667739272954743e-05, -8.794669501905073e-06, 7.121138907825935e-06]","[0.0, 0.0, 0.0]",83.99715015159515,"[-1.67022782e-05  2.21091126e-05  1.95532539e-06 -1.75899659e-05
 -4.05583775e-06  1.05644219e-05]"
210.0,"[-1.670227823031419e-05, 2.210911256916095e-05, 1.9553253885488866e-06, -1.758996588099817e-05, -4.055837752625061e-06, 1.0564421949007568e-05]","[0.05, 0.0, 0.0]",2.1443361220008228e-07,"[-1.12270226e-05  2.61359730e-05  1.69231798e-05 -1.60923240e-05
  1.76975245e-06  1.11769767e-05]"
240.0,"[-1.1227022628904531e-05, 2.6135973043906605e-05, 1.6923179813105205e-05, -1.609232398115847e-05, 1.7697524471024969e-06, 1.1176976660450997e-05]","[0.0, 0.05, 0.0]",3.4754554764265606,"[1.31492296e-05 1.94074561e-05 2.65543646e-05 5.77168897e-06
 7.12113891e-06 8.79466950e-06]"
270.0,"[1.314922958438703e-05, 1.9407456122040934e-05, 2.655436457074169e-05, 5.771688970699641e-06, 7.121138907825934e-06, 8.794669501905073e-06]","[-0.05, -0.0, -0.0]",0.0,"[2.21241444e-05 9.17430318e-06 1.59933180e-05 1.79733008e-05
 1.05644219e-05 4.05583775e-06]"
