time,step,action,reward,entropy,state,next_state
0.0,1,"[-0.05, -0.0, -0.0]",-0.049295284441473984,4721.838126839303,"[0.0, 2.7105431550843945e-05, 1.4545092277045538e-05, -1.2140499370911587e-06, 7.006669357634617e-06, 2.4094759925370444e-07]","[0.0, 4.0357392033430844e-05, 1.1232102156398814e-05, 4.524217276842714e-06, 7.006669357634617e-06, 2.4094759925370444e-07]"
120.0,2,"[0.0, 0.0, 0.0]",0.00234745007576153,4710.746030798064,"[0.0, 4.0357392033430844e-05, 1.1232102156398814e-05, 4.524217276842714e-06, 7.006669357634617e-06, 2.4094759925370444e-07]","[0.0, 4.0357392033430844e-05, 1.1232102156398814e-05, 4.524217276842714e-06, 7.006669357634617e-06, 2.4094759925370444e-07]"
240.0,3,"[0.0, 0.0, 0.0]",6.050363159803768e-07,4710.743171899809,"[0.0, 4.0357392033430844e-05, 1.1232102156398814e-05, 4.524217276842714e-06, 7.006669357634617e-06, 2.4094759925370444e-07]","[0.0, 4.0357392033430844e-05, 1.1232102156398814e-05, 4.524217276842714e-06, 7.006669357634617e-06, 2.4094759925370444e-07]"
360.0,4,"[-0.0, -0.0, -0.05]",-0.049999999939491786,4710.743171613897,"[0.0, 4.0357392033430844e-05, 1.1232102156398814e-05, 4.524217276842714e-06, 7.006669357634617e-06, 2.4094759925370444e-07]","[0.0, 4.0357392033430844e-05, 1.1232102156398814e-05, 4.524217276842714e-06, 2.9488043019931392e-06, -4.997119348410767e-06]"
480.0,5,"[-0.0, -0.01, -0.0]",-0.009999758045981745,4710.742028340506,"[0.0, 4.0357392033430844e-05, 1.1232102156398814e-05, 4.524217276842714e-06, 2.9488043019931392e-06, -4.997119348410767e-06]","[-2.65039209651738e-06, 4.08736460162532e-05, 9.892803407562572e-06, 2.237110561657025e-06, 2.9488043019931392e-06, -4.997119348410767e-06]"
600.0,6,"[-0.0, -0.0, -0.05]",-0.049999999984873096,4710.742028269029,"[-2.65039209651738e-06, 4.08736460162532e-05, 9.892803407562572e-06, 2.237110561657025e-06, 2.9488043019931392e-06, -4.997119348410767e-06]","[-2.65039209651738e-06, 4.1387933434362406e-05, 9.892803407562572e-06, 2.237110561657025e-06, 3.6612790817173613e-07, -1.1099036817764878e-05]"
720.0,7,"[0.05, 0.0, 0.0]",-0.05,4710.742028269029,"[-2.65039209651738e-06, 4.1387933434362406e-05, 9.892803407562572e-06, 2.237110561657025e-06, 3.6612790817173613e-07, -1.1099036817764878e-05]","[-2.65039209651738e-06, 2.8650260369884712e-05, 1.627690288704816e-05, 4.6316355172605916e-07, 3.6612790817173613e-07, -1.1099036817764878e-05]"
840.0,8,"[0.0, 0.01, 0.0]",-0.01,4710.742028269029,"[-2.65039209651738e-06, 2.8650260369884712e-05, 1.627690288704816e-05, 4.6316355172605916e-07, 3.6612790817173613e-07, -1.1099036817764878e-05]","[0.0, 2.864713257514664e-05, 1.6651132220909277e-05, 3.087002470364103e-06, 3.6612790817173613e-07, -1.1099036817764878e-05]"
960.0,9,"[0.0, 0.0, 0.0]",0.0,4710.742028269029,"[0.0, 2.864713257514664e-05, 1.6651132220909277e-05, 3.087002470364103e-06, 3.6612790817173613e-07, -1.1099036817764878e-05]","[0.0, 2.864713257514664e-05, 1.6651132220909277e-05, 3.087002470364103e-06, 3.6612790817173613e-07, -1.1099036817764878e-05]"
1080.0,10,"[0.0, 0.05, 0.0]",-0.05,4710.742028269029,"[0.0, 2.864713257514664e-05, 1.6651132220909277e-05, 3.087002470364103e-06, 3.6612790817173613e-07, -1.1099036817764878e-05]","[1.32519604825869e-05, 2.6057488883416895e-05, 1.5103520949290027e-05, 1.6248284930063912e-05, 3.6612790817173613e-07, -1.1099036817764878e-05]"
1200.0,11,"[-0.01, -0.0, -0.0]",-0.01,4710.742028269029,"[1.32519604825869e-05, 2.6057488883416895e-05, 1.5103520949290027e-05, 1.6248284930063912e-05, 3.6612790817173613e-07, -1.1099036817764878e-05]","[1.32519604825869e-05, 2.6136495004092967e-05, 1.381835381279945e-05, 1.5925035803839173e-05, 3.6612790817173613e-07, -1.1099036817764878e-05]"
1320.0,12,"[-0.05, -0.0, -0.0]",-0.04325746362567165,4678.88241097713,"[1.32519604825869e-05, 2.6136495004092967e-05, 1.381835381279945e-05, 1.5925035803839173e-05, 3.6612790817173613e-07, -1.1099036817764878e-05]","[1.32519604825869e-05, 3.681706951083856e-05, 7.65470532122784e-06, 1.3493359133235485e-05, 3.6612790817173613e-07, -1.1099036817764878e-05]"
1440.0,13,"[0.0, 0.0, 0.0]",0.00616108869594591,4649.77023166407,"[1.32519604825869e-05, 3.681706951083856e-05, 7.65470532122784e-06, 1.3493359133235485e-05, 3.6612790817173613e-07, -1.1099036817764878e-05]","[1.32519604825869e-05, 3.424568353499726e-05, 7.65470532122784e-06, 1.3493359133235485e-05, 3.6612790817173613e-07, -1.1099036817764878e-05]"
1560.0,14,"[0.01, 0.0, 0.0]",0.019026745212809282,4512.61398327799,"[1.32519604825869e-05, 3.424568353499726e-05, 7.65470532122784e-06, 1.3493359133235485e-05, 3.6612790817173613e-07, -1.1099036817764878e-05]","[1.32519604825869e-05, 2.9023905462638573e-05, 8.721980514862097e-06, 1.427889603712569e-05, 3.6612790817173613e-07, -1.1099036817764878e-05]"
