time,step,action,reward,entropy,state,next_state
0.0,1,"[-0.0, -0.01, -0.0]",0.007251439437976486,4799.510616693189,"[0.0, 2.8291324340442478e-05, 1.5702671616637335e-05, -7.608370846553935e-07, 7.716547685355369e-06, -1.6444396690006004e-07]","[-2.65039209651738e-06, 2.9062755467606286e-05, 1.3407364731063786e-05, -2.0860331329140836e-06, 7.716547685355369e-06, -1.6444396690006004e-07]"
180.0,2,"[-0.0, -0.0, -0.05]",-0.0048547591859443235,4798.807732054121,"[-2.65039209651738e-06, 2.9062755467606286e-05, 1.3407364731063786e-05, -2.0860331329140836e-06, 7.716547685355369e-06, -1.6444396690006004e-07]","[-2.65039209651738e-06, 2.9834186594770094e-05, 1.3407364731063786e-05, -2.0860331329140836e-06, 2.7248012917337883e-06, -4.521746125320698e-06]"
360.0,3,"[0.0, 0.0, 0.01]",-0.0009997634122101962,4798.806587101,"[-2.65039209651738e-06, 2.9834186594770094e-05, 1.3407364731063786e-05, -2.0860331329140836e-06, 2.7248012917337883e-06, -4.521746125320698e-06]","[-2.65039209651738e-06, 3.06056177219339e-05, 1.3407364731063786e-05, -2.0860331329140836e-06, 3.5363743028620838e-06, -3.474132735787804e-06]"
540.0,4,"[0.0, 0.0, 0.0]",0.004579538849978433,4776.644169927867,"[-2.65039209651738e-06, 3.06056177219339e-05, 1.3407364731063786e-05, -2.0860331329140836e-06, 3.5363743028620838e-06, -3.474132735787804e-06]","[-2.65039209651738e-06, 3.1377048849097715e-05, 1.3407364731063786e-05, -2.0860331329140836e-06, 3.5363743028620838e-06, -3.474132735787804e-06]"
720.0,5,"[0.0, 0.05, 0.0]",-0.005000000000000001,4776.644169927867,"[-2.65039209651738e-06, 3.1377048849097715e-05, 1.3407364731063786e-05, -2.0860331329140836e-06, 3.5363743028620838e-06, -3.474132735787804e-06]","[1.0601568386069519e-05, 2.8277449998673534e-05, 1.6955258750925718e-05, 1.0682165826057096e-05, 3.5363743028620838e-06, -3.474132735787804e-06]"
900.0,6,"[-0.05, -0.0, -0.0]",-0.005000000000000001,4776.644169927867,"[1.0601568386069519e-05, 2.8277449998673534e-05, 1.6955258750925718e-05, 1.0682165826057096e-05, 3.5363743028620838e-06, -3.474132735787804e-06]","[1.0601568386069519e-05, 3.844373708730993e-05, 1.0348906784746137e-05, 1.1191800849349647e-05, 3.5363743028620838e-06, -3.474132735787804e-06]"
1080.0,7,"[0.0, 0.0, 0.01]",-0.001,4776.644169927867,"[1.0601568386069519e-05, 3.844373708730993e-05, 1.0348906784746137e-05, 1.1191800849349647e-05, 3.5363743028620838e-06, -3.474132735787804e-06]","[1.0601568386069519e-05, 3.535806369335942e-05, 1.0348906784746137e-05, 1.1191800849349647e-05, 3.3816131757001587e-06, -2.158004489817823e-06]"
1260.0,8,"[-0.0, -0.0, -0.01]",0.0005742164466785839,4769.025839184311,"[1.0601568386069519e-05, 3.535806369335942e-05, 1.0348906784746137e-05, 1.1191800849349647e-05, 3.3816131757001587e-06, -2.158004489817823e-06]","[1.0601568386069519e-05, 3.2272390299408914e-05, 1.0348906784746137e-05, 1.1191800849349647e-05, 3.787253620970155e-06, -3.4195909495904408e-06]"
1440.0,9,"[0.0, 0.0, 0.05]",-0.005000000000000001,4769.025839184311,"[1.0601568386069519e-05, 3.2272390299408914e-05, 1.0348906784746137e-05, 1.1191800849349647e-05, 3.787253620970155e-06, -3.4195909495904408e-06]","[1.0601568386069519e-05, 2.9186716905458403e-05, 1.0348906784746137e-05, 1.1191800849349647e-05, 5.807814718026614e-07, 2.3788700974999337e-06]"
1620.0,10,"[0.0, 0.01, 0.0]",-0.001,4769.025839184311,"[1.0601568386069519e-05, 2.9186716905458403e-05, 1.0348906784746137e-05, 1.1191800849349647e-05, 5.807814718026614e-07, 2.3788700974999337e-06]","[1.32519604825869e-05, 2.5325723473893118e-05, 8.643150725485067e-06, 1.3220340849343716e-05, 5.807814718026614e-07, 2.3788700974999337e-06]"
1800.0,11,"[-0.0, -0.01, -0.0]",-0.001,4769.025839184311,"[1.32519604825869e-05, 2.5325723473893118e-05, 8.643150725485067e-06, 1.3220340849343716e-05, 5.807814718026614e-07, 2.3788700974999337e-06]","[1.0601568386069519e-05, 2.2243757179286257e-05, 1.0708050030982619e-05, 1.1558784613931408e-05, 5.807814718026614e-07, 2.3788700974999337e-06]"
